,logFC,FDR,FC,geneLen,GC_content,median_IUPRED,5UTR_PARS_RNAstructure,CDS_PARS_RNAstructure,3UTR_PARS_RNAstructure,%AA_A,%AA_C,%AA_D,%AA_E,%AA_F,%AA_G,%AA_H,%AA_I,%AA_K,%AA_L,%AA_M,%AA_N,%AA_P,%AA_Q,%AA_R,%AA_S,%AA_T,%AA_V,%AA_W,%AA_Y,%Helical,%urn,%Beta-sheet,number of physical interaction,number of positive genetic interaction,number of negative genetic interaction,RNAseq RPKM,RNAseq log2(RPKM),MS mean,log2(MS),Imputed log2(MS),protein_synthesis_rate,real_protein_synthesis_rate,Ribo_profilling_init_rate,Ribo_profilling_ribo_num,Ribo_profilling_trans_rate,Ribo_profilling_trans_time,Ribo_profilling_delay_time,IDR ratio,Control Median,control Localization,GOMF,GOBP slim,GOCC slim,Number of complexe,Sum d0 Pause Score,Sum Odds Ratio,intron length,Intron status,aliphaticIndex,aromaticityScore,cai,codonBias,fopScore,gravyScore,instabilityIndex,molecularWeight,pI
YDR454C,0.649853131936099,0.0010687710677067,1.569008460743382,564.0,40.7801,0.2364,-0.208947368421052,0.704310283687943,0.101,0.0798,0.0053,0.0585,0.0798,0.0585,0.0691,0.0053,0.0585,0.1011,0.0638,0.016,0.0426,0.0372,0.0213,0.0372,0.1011,0.0532,0.0691,0.0053,0.0319,0.2872,0.25,0.2394,,,,265.19458625,8.056337420417094,13474666666.666666,33.64953053332804,33.64953053332804,30118.712173913,2.91208786426104,0.3,6.943,0.194,35.83,1.614,0.0,121.83,cytosol,GO:0000166;GO:0003824;GO:0004385;GO:0005488;GO:0005524;GO:0016301;GO:0016740;GO:0016772;GO:0016776;GO:0017076;GO:0019201;GO:0019205;GO:0030554;GO:0032553;GO:0032555;GO:0032559;GO:0035639,GO:0006139;GO:0006793;GO:0006807;GO:0008152;GO:0009117;GO:0009987;GO:0034641;GO:0044237;GO:0044238;GO:0044281;GO:0046483;GO:0055086,,0.0,1.14,2.4,,0.0,72.46,0.1,0.31,0.38,0.65,-0.39,20.74,20637.5,7.34
YDR456W,0.559400208704907,0.02582559173452,1.4736564266235586,1902.0,38.4332,0.0102,0.0,0.341723449001052,0.007123287671233,0.0584,0.011,0.0521,0.041,0.0647,0.0599,0.0126,0.0994,0.0284,0.1199,0.0252,0.0552,0.0442,0.03,0.0268,0.0946,0.0599,0.0678,0.011,0.0363,0.3991,0.2539,0.2445,1.0,3.0,157.0,70.0062175425,6.149873452251124,17346666.666666668,24.048155208714515,24.048155208714515,,,0.05,6.777,0.045,151.506,3.457,0.1072555205047318,30.22,punctate,GO:0005215;GO:0005451;GO:0008324;GO:0015075;GO:0015077;GO:0015078;GO:0015079;GO:0015081;GO:0015291;GO:0015297;GO:0015298;GO:0015299;GO:0015300;GO:0015385;GO:0015386;GO:0015491;GO:0022804;GO:0022821;GO:0022857;GO:0022890;GO:0022891;GO:0022892;GO:0046873,GO:0006810;GO:0006811;GO:0006873;GO:0009987;GO:0019725;GO:0042592;GO:0051234;GO:0055085;GO:0065007,GO:0005768;GO:0016020;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,1.0,9.38,,0.0,108.86,0.11,0.16,0.13,0.5,0.38,41.8,70124.3,4.43
YDR459C,1.04028518558448,0.0039653035490554,2.0566341594908146,1125.0,40.1778,0.0263,0.147763157894736,0.148535999999998,-0.069298245614035,0.0507,0.0347,0.0427,0.0427,0.048,0.048,0.0267,0.0987,0.0533,0.096,0.0187,0.0347,0.04,0.0293,0.0507,0.096,0.0507,0.0587,0.0267,0.0507,0.3787,0.2187,0.208,1.0,1.0,11.0,22.238775225,4.5384621299214905,,,23.112088889071472,,,0.016,1.592,0.014,112.375,1.069,0.0,14.78,below threshold,GO:0003824;GO:0005488;GO:0008270;GO:0016409;GO:0016417;GO:0016740;GO:0016746;GO:0016747;GO:0019706;GO:0019707;GO:0043167;GO:0043169;GO:0046872;GO:0046914,GO:0006464;GO:0006497;GO:0008152;GO:0009987;GO:0019538;GO:0043170;GO:0043412;GO:0043543;GO:0044237;GO:0044238,GO:0005886;GO:0016020;GO:0044464,0.0,,,,0.0,92.92,0.13,0.12,0.02,0.45,0.07,50.92,42930.3,8.46
YDR460W,0.275379407598646,0.640547559410157,1.2103123417326915,966.0,39.441,0.26625,,,,0.0248,0.0248,0.0621,0.1242,0.0528,0.0311,0.0124,0.059,0.1056,0.0807,0.0217,0.0776,0.0311,0.0248,0.0683,0.0404,0.0497,0.0652,0.0031,0.0373,0.2981,0.1801,0.2516,12.0,1.0,4.0,6.294173805250001,2.866744576557056,356996666.6666667,28.411335366789654,28.411335366789654,,,0.101,6.998,0.07,100.14,7.469,0.0,22.27,nucleus,GO:0005488;GO:0008270;GO:0043167;GO:0043169;GO:0046872;GO:0046914,GO:0006139;GO:0006259;GO:0006281;GO:0006366;GO:0006464;GO:0006468;GO:0006793;GO:0006807;GO:0006950;GO:0006974;GO:0007049;GO:0008152;GO:0009058;GO:0009987;GO:0016070;GO:0019538;GO:0034641;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0050896;GO:0065007,GO:0005667;GO:0032991;GO:0043234;GO:0044464,1.0,,,,0.0,69.42,0.09,0.14,0.06,0.48,-0.81,41.39,38124.8,5.9
YDR461W,1.00208643308938,0.0004012296972852,2.0028945029447955,111.0,45.045,0.4292,,,,0.1351,0.027,0.0541,0.0541,0.027,0.027,0.0,0.0811,0.1351,0.0,0.027,0.027,0.0811,0.027,0.0,0.0811,0.0811,0.0541,0.027,0.027,0.2162,0.2162,0.2162,,,,109.193649645,6.783897274939247,,,22.876753749370135,,,,,,,,0.4594594594594595,,,GO:0000772;GO:0005102;GO:0005186;GO:0005488;GO:0005515,GO:0007165;GO:0009987;GO:0050896;GO:0065007,GO:0005576;GO:0005886;GO:0016020;GO:0044464,0.0,,,,0.0,57.4,0.08,0.56,0.67,0.82,-0.4,44.84,3927.6,8.51
YDR462W,0.174403864142579,0.44048321823898,1.1284980019177389,444.0,46.1712,0.3722,0.150526315789473,0.081013513513514,-0.049435483870968,0.0541,0.0068,0.0135,0.0676,0.0405,0.0135,0.0203,0.0338,0.1014,0.1149,0.0338,0.0405,0.0541,0.0878,0.0878,0.0878,0.0541,0.0473,0.0135,0.0203,0.2703,0.1959,0.2703,36.0,1.0,44.0,37.7955611425,5.277819688432604,48762666.666666664,25.539273718065377,25.539273718065377,,,0.133,6.984,0.102,68.761,23.571,0.0,48.18,mitochondria,GO:0003735;GO:0005198,GO:0006412;GO:0006996;GO:0007005;GO:0008152;GO:0009058;GO:0009987;GO:0016043;GO:0019538;GO:0032543;GO:0043170;GO:0044237;GO:0044238,GO:0030529;GO:0032991;GO:0044464,1.0,,,,0.0,70.8,0.07,0.11,0.11,0.48,-0.75,63.21,17358.6,11.19
YDR463W,-0.300086893592026,0.559723049337419,0.8122034758284113,1560.0,41.4744,0.4541,0.0825,0.272003846153845,0.057883597883598,0.0442,0.0212,0.0481,0.0654,0.0442,0.0481,0.0327,0.0635,0.075,0.0596,0.0173,0.0712,0.0577,0.05,0.0385,0.1212,0.0654,0.0423,0.0,0.0327,0.2423,0.2981,0.1865,5.0,,3.0,20.1887622325,4.40522740826094,64304000.0,25.938405169156372,25.938405169156372,,,0.15,14.118,0.111,127.017,5.335,0.3057692307692308,,,GO:0000975;GO:0000976;GO:0000977;GO:0000978;GO:0000981;GO:0000982;GO:0000987;GO:0001012;GO:0001067;GO:0001071;GO:0001077;GO:0001159;GO:0003676;GO:0003677;GO:0003700;GO:0005488;GO:0043167;GO:0043169;GO:0043565;GO:0044212;GO:0046872,GO:0006139;GO:0006396;GO:0006399;GO:0006807;GO:0008033;GO:0008152;GO:0009987;GO:0016070;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0065007,GO:0005634;GO:0005737;GO:0005886;GO:0016020;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,62.32,0.08,0.14,0.08,0.48,-0.71,58.0,58088.6,7.58
YDR465C,-0.558728496038448,0.0684893053051612,0.6789002416524524,1239.0,39.8709,0.2002,0.399111111111111,0.385221146085552,0.063088235294118,0.0533,0.0097,0.0944,0.0944,0.046,0.0581,0.0194,0.0533,0.0557,0.0969,0.0266,0.046,0.0363,0.0315,0.0387,0.0484,0.0557,0.063,0.0121,0.0581,0.3293,0.1889,0.2712,4.0,3.0,19.0,34.9907088325,5.169552611127837,870833333.3333334,29.69782139211531,29.69782139211531,,,0.194,15.893,0.12,132.076,27.074,0.1259079903147699,45.29,nucleus:cytosol,GO:0003824;GO:0008168;GO:0008170;GO:0008276;GO:0008757;GO:0016273;GO:0016274;GO:0016740;GO:0016741;GO:0019702,GO:0006464;GO:0006730;GO:0008152;GO:0008213;GO:0009987;GO:0018193;GO:0019538;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0044281,GO:0005634;GO:0005737;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,76.74,0.12,0.18,0.09,0.48,-0.46,42.87,47430.2,4.19
YDR466W,-0.160372658842085,0.702934021147357,0.8947939091626479,2697.0,38.7838,0.4017,,,,0.0501,0.0056,0.0445,0.0467,0.0356,0.0456,0.0256,0.0701,0.079,0.0779,0.0145,0.0834,0.069,0.0434,0.0445,0.1079,0.0701,0.0478,0.01,0.0278,0.2692,0.3059,0.1891,39.0,7.0,31.0,7.8248564995,3.1415728189908507,130813333.33333333,26.962934367183124,26.962934367183124,,,0.02,4.464,0.019,231.278,2.485,0.4271412680756396,,,GO:0000166;GO:0003824;GO:0004672;GO:0004674;GO:0005488;GO:0005524;GO:0016301;GO:0016740;GO:0016772;GO:0016773;GO:0017076;GO:0030554;GO:0032553;GO:0032555;GO:0032559;GO:0035639,GO:0007165;GO:0009987;GO:0050896;GO:0065007,,0.0,,,,0.0,73.88,0.07,0.11,-0.05,0.4,-0.62,42.34,100505.9,10.06
YDR468C,0.448613248724284,0.0786099157041291,1.364727818673796,675.0,37.6296,0.494,,,,0.0356,0.0089,0.0978,0.1022,0.0178,0.0489,0.0178,0.0711,0.0533,0.0978,0.04,0.08,0.0133,0.0844,0.0533,0.0311,0.0533,0.0711,0.0044,0.0133,0.2756,0.1733,0.2756,15.0,27.0,223.0,18.404046592500002,4.278285643699294,256356666.66666666,27.933577180861946,27.933577180861946,,,0.128,6.929,0.103,67.502,12.259,0.5466666666666666,,,GO:0005484;GO:0005488;GO:0005515,GO:0006810;GO:0006897;GO:0006996;GO:0009987;GO:0010324;GO:0015031;GO:0016043;GO:0016044;GO:0016050;GO:0016192;GO:0048193;GO:0048284;GO:0051234;GO:0061024;GO:0061025,GO:0005768;GO:0016020;GO:0032991;GO:0043226;GO:0043229;GO:0043231;GO:0043234;GO:0044464,0.0,,,,0.0,85.05,0.04,0.19,0.17,0.54,-0.71,46.75,25796.1,4.23
YDR469W,-0.350857450225108,0.0918889080983194,0.7841179273524014,528.0,36.7424,0.6531,-0.074782608695652,0.134791666666666,0.030434782608696,0.0398,0.0057,0.0568,0.1023,0.0114,0.0341,0.0227,0.0511,0.0682,0.0682,0.0284,0.1307,0.0455,0.0511,0.0227,0.1193,0.0511,0.0682,0.0,0.017,0.2159,0.3295,0.2386,7.0,32.0,232.0,23.9035955275,4.63828214542223,154573333.33333334,27.20371621844468,27.20371621844468,1096.27576086957,0.105995612318276,0.125,4.49,0.096,46.771,1.931,0.8409090909090909,25.88,nucleus,,GO:0006325;GO:0006464;GO:0006730;GO:0006996;GO:0008152;GO:0008213;GO:0009987;GO:0016043;GO:0016458;GO:0016568;GO:0016570;GO:0019538;GO:0040029;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0044281;GO:0051276;GO:0065007,GO:0016585;GO:0032991;GO:0035097;GO:0043234;GO:0044464,1.0,,,,0.0,68.0,0.03,0.11,-0.1,0.38,-0.93,59.42,19434.4,4.44
YDR470C,-0.909363429989257,0.41728625120829,0.5324199626376065,1509.0,37.7734,0.0967,,,,0.0437,0.006,0.0557,0.0577,0.0616,0.0497,0.0119,0.0835,0.0676,0.0994,0.0258,0.0815,0.0398,0.0378,0.0417,0.0755,0.0577,0.0537,0.0199,0.0278,0.3459,0.2465,0.2266,7.0,,29.0,12.318455529,3.735354885266219,144300000.0,27.104496068925897,27.104496068925897,,,0.041,4.372,0.036,120.87,2.14,0.0695825049701789,,,,GO:0006996;GO:0007005;GO:0009987;GO:0016043;GO:0016044;GO:0048284;GO:0061024;GO:0061025,GO:0044464,1.0,,,,0.0,86.77,0.11,0.15,0.07,0.48,-0.25,29.87,57541.4,6.8
YDR471W,0.220876152573629,0.583670101706405,1.1654411471341686,411.0,42.8224,0.2951,-0.5065,0.372148661800486,0.30844537815126,0.0876,0.0,0.0146,0.0657,0.0657,0.0584,0.0438,0.0292,0.1679,0.0438,0.0073,0.0219,0.0438,0.0292,0.0584,0.0511,0.0438,0.1241,0.0073,0.0292,0.2993,0.1752,0.2044,1.0,24.0,55.0,1472.682772,10.525210284998959,,,24.945985712297432,,,0.287,4.436,0.191,23.208,0.866,0.0,16.87,below threshold,GO:0003735;GO:0005198,GO:0002181;GO:0006412;GO:0008152;GO:0009058;GO:0009987;GO:0019538;GO:0043170;GO:0044237;GO:0044238,GO:0030529;GO:0030684;GO:0032991;GO:0044464,1.0,7.510000000000001,12.69,383.0,1.0,65.4,0.1,0.52,0.65,0.81,-0.56,21.85,15525.5,11.08
YDR472W,-0.816387921891278,0.0506094480500933,0.5678619211945856,852.0,40.3756,0.2436,-0.012271540469974,0.189154929577463,-0.338719999999999,0.0599,0.0141,0.0423,0.0563,0.0599,0.0599,0.0211,0.0599,0.0387,0.0951,0.0246,0.0458,0.0387,0.0599,0.0599,0.1303,0.0563,0.0352,0.0035,0.0352,0.2887,0.2746,0.2359,13.0,9.0,120.0,34.584733015,5.153186506648801,136673333.33333334,27.026156552315687,27.026156552315687,,,0.055,4.371,0.049,89.362,8.466,0.0598591549295774,,,,GO:0006810;GO:0006914;GO:0008152;GO:0009056;GO:0009987;GO:0016192;GO:0044237;GO:0048193;GO:0051234;GO:0065007,GO:0005783;GO:0043226;GO:0043229;GO:0043231;GO:0044464,1.0,,,,0.0,74.08,0.1,0.13,0.11,0.48,-0.35,45.82,31722.1,7.54
YDR473C,1.10298245606684,0.006308374402671,2.147982822476589,1410.0,36.7376,0.4476,,,,0.0277,0.0106,0.0723,0.1064,0.034,0.0426,0.0298,0.0447,0.117,0.0894,0.0255,0.0638,0.0426,0.0383,0.0745,0.0532,0.0383,0.0362,0.0128,0.0383,0.2553,0.2021,0.2489,30.0,4.0,78.0,1.72145190425,1.4443765397877375,125810000.0,26.90667136986627,26.90667136986627,,,0.038,4.407,0.035,127.37,3.659,0.3893617021276596,22.81,nucleus,,GO:0006139;GO:0006396;GO:0006397;GO:0006807;GO:0008152;GO:0008380;GO:0009987;GO:0016070;GO:0016071;GO:0034641;GO:0043170;GO:0044237;GO:0044238,GO:0005681;GO:0030529;GO:0030532;GO:0032991;GO:0044464,1.0,,,,0.0,60.16,0.09,0.13,-0.06,0.4,-1.18,48.09,55877.0,8.91
YDR475C,-1.18857670869634,0.138638216937356,0.4387354818666822,2631.0,42.4553,0.5139,,,,0.0456,0.0068,0.0741,0.0536,0.0365,0.0433,0.0217,0.0536,0.0924,0.0707,0.016,0.0547,0.0547,0.0308,0.0741,0.1448,0.049,0.0468,0.008,0.0217,0.2372,0.2976,0.1859,4.0,3.0,32.0,4.94651211875,2.572043714736588,50245666.666666664,25.58249587233863,25.58249587233863,,,0.161,24.761,0.076,326.943,75.175,0.5575826681870011,16.08,below threshold,,,,0.0,,,,0.0,63.54,0.07,0.11,0.01,0.43,-0.86,63.15,98726.3,10.2
YDR476C,0.140895762040588,0.653988570368599,1.1025894956215516,675.0,52.1481,0.0349,-0.303749999999999,0.390502222222221,0.307237569060773,0.0578,0.0133,0.0533,0.0578,0.0489,0.0578,0.0267,0.08,0.0489,0.1511,0.0089,0.0311,0.0489,0.0178,0.0489,0.0311,0.0889,0.08,0.0133,0.0311,0.4044,0.1689,0.2756,5.0,,11.0,45.4774571575,5.538459234055403,75135333.33333333,26.162988196172734,26.162988196172734,,,0.072,4.488,0.063,71.305,6.885,,36.36,ER,,,GO:0005783;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,114.98,0.09,0.1,0.12,0.49,0.27,28.92,25262.7,6.51
YDR478W,0.678816705655567,0.0255836576943763,1.6008262234874873,597.0,38.526,0.384,,,,0.0201,0.0302,0.0201,0.0704,0.0352,0.0503,0.0151,0.0151,0.1407,0.1005,0.0302,0.0704,0.0352,0.0553,0.0352,0.1357,0.0452,0.0503,0.005,0.0352,0.2412,0.2915,0.2211,5.0,18.0,157.0,7.591804274499999,3.1029611283996186,19840000.0,24.241908762652805,24.241908762652805,,,0.35,6.948,0.103,67.508,10.821,0.3266331658291457,25.93,nucleus,GO:0003676;GO:0003723;GO:0003824;GO:0004518;GO:0005488;GO:0016787;GO:0016788;GO:0019843;GO:0042134,GO:0006139;GO:0006276;GO:0006364;GO:0006396;GO:0006397;GO:0006807;GO:0008152;GO:0009987;GO:0016070;GO:0016071;GO:0034641;GO:0043170;GO:0044237;GO:0044238,GO:0005634;GO:0005732;GO:0030529;GO:0032991;GO:0043226;GO:0043229;GO:0043231;GO:0044464,1.0,,,,0.0,59.0,0.08,0.11,-0.01,0.41,-0.85,41.71,22558.3,10.24
YDR479C,-1.41398353380876,0.151330793864801,0.3752740575423661,1665.0,39.6997,0.247,,,,0.0306,0.0036,0.0523,0.0685,0.045,0.0468,0.018,0.0739,0.0595,0.1081,0.0306,0.0541,0.0595,0.0342,0.0468,0.0955,0.0649,0.0505,0.018,0.0378,0.3333,0.2559,0.2378,33.0,3.0,43.0,8.691917388,3.2767821075925334,,,23.894228758673677,,,0.031,4.519,0.029,157.144,3.647,0.2396396396396396,15.52,below threshold,,GO:0006996;GO:0007031;GO:0009987;GO:0016043,GO:0016020;GO:0042579;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,84.73,0.1,0.11,0.0,0.42,-0.33,43.72,63535.2,6.05
YDR480W,0.285535807256651,0.803295183336114,1.2188628571105793,972.0,40.8436,0.5382,,,,0.0432,0.0093,0.0741,0.0648,0.0185,0.0401,0.037,0.0556,0.0864,0.071,0.0247,0.0556,0.0833,0.0401,0.0494,0.0957,0.0586,0.034,0.0062,0.0494,0.2346,0.2747,0.2037,14.0,7.0,10.0,3.1109108659999998,2.0394580912952187,304486666.6666667,28.18180381838886,28.18180381838886,,,0.175,10.383,0.126,82.273,4.113,0.6141975308641975,19.57,nucleus,GO:0005488;GO:0005515;GO:0008134,GO:0009987;GO:0042221;GO:0050896;GO:0065007,GO:0005634;GO:0043226;GO:0043229;GO:0043231;GO:0044464,1.0,,,,0.0,60.34,0.07,0.14,0.04,0.45,-0.98,58.91,36878.8,7.41
YDR481C,-1.10092750437164,0.0019794178813221,0.46621667008293843,1701.0,43.7978,0.2918,0.0,0.562996472663143,0.255697674418604,0.0758,0.0053,0.0776,0.0635,0.0441,0.0653,0.0459,0.0441,0.0494,0.0952,0.0123,0.0476,0.0317,0.0353,0.0423,0.0864,0.0617,0.0705,0.0088,0.0353,0.2981,0.231,0.2469,3.0,2.0,10.0,33.434791937499995,5.1057950548663,1059846666.6666666,29.98120841330498,29.98120841330498,284.066117391304,0.0274655001291675,0.092,10.261,0.076,134.752,3.692,0.0723104056437389,16.86,below threshold,GO:0003824;GO:0004035;GO:0005488;GO:0016787;GO:0016788;GO:0016791;GO:0019203;GO:0042578;GO:0043167;GO:0043169;GO:0046872;GO:0047386;GO:0050308,GO:0006139;GO:0006464;GO:0006470;GO:0006793;GO:0006807;GO:0008152;GO:0009117;GO:0009987;GO:0019538;GO:0034641;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0044281;GO:0046483;GO:0051186;GO:0055086,GO:0016020;GO:0044464,0.0,1.53,22.150000000000002,,0.0,78.47,0.09,0.16,0.1,0.49,-0.4,33.78,62976.5,5.33
YDR482C,0.310272939608108,0.212762081910871,1.2399422591032123,408.0,51.4706,0.6991,0.147207207207207,0.024904411764706,0.020828402366864,0.0662,0.0074,0.0221,0.125,0.0,0.0368,0.0368,0.0368,0.0809,0.0735,0.0221,0.0368,0.0221,0.1176,0.1103,0.1029,0.0441,0.0294,0.0074,0.0147,0.1618,0.1985,0.2868,36.0,14.0,84.0,11.666248995250001,3.662917440426398,46002666.666666664,25.455214188813333,25.455214188813333,,,0.097,4.432,0.067,65.715,10.674,1.0,27.67,nucleus,,GO:0006139;GO:0006396;GO:0006397;GO:0006807;GO:0008152;GO:0008380;GO:0009987;GO:0016070;GO:0016071;GO:0034641;GO:0043170;GO:0044237;GO:0044238,GO:0005681;GO:0005737;GO:0030529;GO:0032991;GO:0044464,0.0,,,,0.0,53.33,0.02,0.06,-0.1,0.37,-1.44,75.12,15768.9,10.31
YDR484W,-0.0140341008355501,0.946880149728857,0.9903194635762111,1926.0,33.2814,0.19855,,,,0.0452,0.0093,0.0685,0.0592,0.0607,0.0202,0.014,0.0763,0.0732,0.109,0.0156,0.0935,0.0327,0.0592,0.0374,0.0826,0.0639,0.0327,0.0047,0.0405,0.324,0.229,0.229,12.0,60.0,288.0,8.53377123175,3.2530470075368583,66547333.333333336,25.987877541902368,25.987877541902368,,,0.009,1.545,0.009,172.837,0.85,0.0342679127725856,23.28,punctate,,GO:0006810;GO:0007034;GO:0009987;GO:0015031;GO:0016192;GO:0016197;GO:0048193;GO:0051234,GO:0005794;GO:0005856;GO:0016020;GO:0032991;GO:0043226;GO:0043229;GO:0043231;GO:0043232;GO:0043234;GO:0044464,1.0,,,,0.0,81.56,0.11,0.14,-0.03,0.42,-0.51,44.85,74322.5,5.46
YDR486C,0.504434815853498,0.008491611379114,1.4185675152820774,690.0,40.2899,0.562,0.171428571428571,0.230115942028984,0.003387096774194,0.0739,0.0,0.087,0.0652,0.0174,0.0304,0.0043,0.0522,0.0652,0.1304,0.0435,0.1174,0.0261,0.1217,0.0217,0.0783,0.0391,0.0043,0.0043,0.013,0.2217,0.2522,0.313,55.0,10.0,85.0,19.2881765325,4.34256729878244,147156666.66666666,27.132777671351406,27.132777671351406,,,0.156,6.069,0.112,54.062,1.706,0.8,34.32,vacuole membrane,,GO:0006810;GO:0007034;GO:0009987;GO:0015031;GO:0016192;GO:0016197;GO:0030447;GO:0040007;GO:0051234,GO:0016020;GO:0044464,0.0,,,,0.0,77.5,0.03,0.14,0.03,0.45,-0.89,56.03,25846.9,4.17
YDR487C,1.17879550898675,0.0062149620991885,2.2638768942038596,627.0,44.3381,0.3426,-0.116298245614035,0.532307814992024,0.092375,0.0909,0.0287,0.0813,0.0526,0.0335,0.0813,0.0335,0.0574,0.0526,0.0861,0.0383,0.0335,0.0383,0.0383,0.0478,0.0622,0.067,0.0574,0.0,0.0144,0.2488,0.2153,0.2679,,,,90.0615084675,6.508769453218297,2411166666.6666665,31.167084232137658,31.167084232137658,6986.14339130435,0.675469232227858,0.25,6.943,0.158,44.042,2.409,0.0,107.26,cytosol,GO:0003824;GO:0005488;GO:0008686;GO:0016829;GO:0016830;GO:0043167;GO:0043169;GO:0046872,GO:0006091;GO:0006766;GO:0006807;GO:0008152;GO:0009058;GO:0009987;GO:0034641;GO:0044237;GO:0044281;GO:0045333;GO:0046483,GO:0005829;GO:0044464,0.0,,,,0.0,79.96,0.05,0.2,0.25,0.57,-0.23,28.23,22561.0,5.57
YDR488C,-0.482962826144883,0.0266043399570361,0.7155066962012485,1602.0,50.0,0.2193,,,,0.0805,0.0169,0.0562,0.0824,0.0187,0.0506,0.0169,0.0393,0.0449,0.1049,0.0243,0.0468,0.0412,0.0599,0.0637,0.0599,0.0637,0.0805,0.0187,0.0281,0.2903,0.1985,0.2921,7.0,26.0,156.0,5.19270155075,2.6305689189073407,,,23.714811669801374,,,0.031,4.507,0.026,172.087,4.366,0.2940074906367041,14.73,below threshold,,GO:0006810;GO:0006928;GO:0006996;GO:0007010;GO:0008152;GO:0009987;GO:0016043;GO:0030705;GO:0051234;GO:0065007,GO:0032991;GO:0043234;GO:0044464,1.0,,,,0.0,82.25,0.07,0.08,-0.01,0.42,-0.41,51.55,60058.7,4.99
YDR489W,0.457280113954178,0.176225388418641,1.3729509778108184,885.0,38.7571,0.2575,0.0,0.123743502824857,0.0,0.0237,0.0136,0.0881,0.078,0.0237,0.0271,0.0169,0.0814,0.0644,0.1254,0.0373,0.0644,0.0508,0.0373,0.0407,0.0847,0.0508,0.0441,0.0136,0.0305,0.3186,0.2271,0.2644,39.0,5.0,57.0,9.336855306499999,3.3697254484561916,,,23.599336365907675,,,0.063,4.46,0.053,84.112,4.593,0.0983050847457627,25.25,cytosol,,GO:0006139;GO:0006259;GO:0006260;GO:0006281;GO:0006310;GO:0006807;GO:0006950;GO:0006974;GO:0008152;GO:0009058;GO:0009987;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0050896,GO:0032991;GO:0043234;GO:0044464,1.0,,,,0.0,91.82,0.07,0.16,0.13,0.5,-0.43,41.0,33929.9,4.45
YDR490C,-2.70001523361667,4.64014336084489e-06,0.15389142669865546,2301.0,42.7206,0.3215,,,,0.0704,0.0065,0.06,0.06,0.043,0.0508,0.0183,0.0469,0.0952,0.0926,0.0261,0.0482,0.0508,0.0443,0.0495,0.0834,0.0587,0.0561,0.0078,0.03,0.2764,0.2334,0.249,21.0,4.0,42.0,9.225099782500001,3.35404301678451,172130000.0,27.358923329584563,27.358923329584563,,,0.041,7.142,0.038,190.112,4.51,0.363754889178618,18.49,below threshold,GO:0000166;GO:0003824;GO:0004672;GO:0004674;GO:0005488;GO:0005524;GO:0016301;GO:0016740;GO:0016772;GO:0016773;GO:0017076;GO:0030554;GO:0032553;GO:0032555;GO:0032559;GO:0035639,GO:0006464;GO:0006468;GO:0006793;GO:0006810;GO:0006897;GO:0007034;GO:0007165;GO:0008152;GO:0009987;GO:0010324;GO:0016043;GO:0016044;GO:0016192;GO:0016197;GO:0019538;GO:0022607;GO:0022618;GO:0034622;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0050896;GO:0051234;GO:0061024;GO:0065003;GO:0065007,GO:0005829;GO:0005938;GO:0044464,0.0,,,,0.0,73.51,0.08,0.11,0.0,0.43,-0.54,41.19,86272.6,9.76
YDR493W,0.322680477330633,0.362969488763913,1.2506520597252015,372.0,43.8172,0.51935,-0.085764705882353,0.025456989247312,-0.074466019417476,0.0968,0.0161,0.0726,0.0484,0.0242,0.0403,0.0323,0.0323,0.0968,0.0968,0.0242,0.0484,0.0484,0.0323,0.0968,0.0403,0.0806,0.0484,0.0,0.0161,0.2177,0.1774,0.2661,2.0,22.0,32.0,23.312120635,4.603603833427354,29684000.0,24.823182224965148,24.823182224965148,,,,,,,,0.5403225806451613,,,GO:0005488;GO:0005515;GO:0044183,GO:0006457;GO:0006461;GO:0008152;GO:0009987;GO:0016043;GO:0019538;GO:0022607;GO:0034622;GO:0043170;GO:0044237;GO:0044238;GO:0065003;GO:0070271,GO:0005739;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,69.16,0.04,0.12,-0.02,0.42,-0.79,42.07,13936.3,10.56
