Transcript.symbol	Transcript.length	Transcript.gene.secondaryIdentifier
""	2238	YDR419W
""	2290	YDR419W
""	2946	YDR421W
""	2965	YDR421W
""	2798	YDR422C
""	2847	YDR422C
""	1330	YDR423C
""	1371	YDR423C
SC_Transcript_00000658	519	YDR424C
SC_Transcript_00000988	512	YDR424C
SC_Transcript_00001934	518	YDR424C
SC_Transcript_00002049	555	YDR424C
SC_Transcript_00003365	561	YDR424C
SC_Transcript_00009243	550	YDR424C
SC_Transcript_00009560	518	YDR424C
SC_Transcript_00009569	507	YDR424C
SC_Transcript_00010287	513	YDR424C
SC_Transcript_00011706	524	YDR424C
SC_Transcript_00013337	524	YDR424C
SC_Transcript_00015932	530	YDR424C
""	589	YDR424C
""	622	YDR424C
""	2034	YDR425W
SC_Transcript_00005213	1318	YDR427W
SC_Transcript_00006719	1309	YDR427W
""	1347	YDR427W
""	2173	YDR427W
""	1498	YDR428C
""	1572	YDR428C
SC_Transcript_00001691	919	YDR429C
SC_Transcript_00002029	911	YDR429C
SC_Transcript_00004412	967	YDR429C
SC_Transcript_00005891	957	YDR429C
SC_Transcript_00006253	987	YDR429C
SC_Transcript_00017215	975	YDR429C
""	1055	YDR429C
""	1387	YDR429C
""	3067	YDR430C
""	3091	YDR430C
""	1631	YDR433W
""	1795	YDR433W
SC_Transcript_00001996	1816	YDR434W
SC_Transcript_00012205	1794	YDR434W
SC_Transcript_00014569	1801	YDR434W
""	1848	YDR434W
""	1885	YDR434W
SC_Transcript_00004707	1149	YDR435C
SC_Transcript_00015870	1125	YDR435C
""	1325	YDR435C
""	1524	YDR435C
""	2425	YDR436W
""	2548	YDR436W
""	1866	YDR437W
""	2016	YDR437W
""	1707	YDR438W
""	2029	YDR438W
""	1360	YDR439W
""	1384	YDR439W
SC_Transcript_00009459	1916	YDR440W
SC_Transcript_00009515	1907	YDR440W
SC_Transcript_00012037	1902	YDR440W
""	1942	YDR440W
""	2064	YDR440W
""	1024	YDR441C
""	1037	YDR441C
""	1133	YDR442W
""	1173	YDR442W
""	2219	YDR444W
""	2228	YDR444W
SC_Transcript_00000451	900	YDR447C
SC_Transcript_00001500	857	YDR447C
SC_Transcript_00002130	874	YDR447C
SC_Transcript_00004825	888	YDR447C
SC_Transcript_00004897	866	YDR447C
SC_Transcript_00005167	869	YDR447C
SC_Transcript_00005749	850	YDR447C
SC_Transcript_00006190	893	YDR447C
SC_Transcript_00008067	937	YDR447C
SC_Transcript_00008824	878	YDR447C
SC_Transcript_00008925	881	YDR447C
SC_Transcript_00009422	843	YDR447C
SC_Transcript_00009490	873	YDR447C
SC_Transcript_00010792	871	YDR447C
SC_Transcript_00011608	900	YDR447C
SC_Transcript_00013169	883	YDR447C
SC_Transcript_00013848	859	YDR447C
SC_Transcript_00014551	864	YDR447C
SC_Transcript_00015777	910	YDR447C
SC_Transcript_00016130	886	YDR447C
""	1018	YDR447C
""	1041	YDR447C
""	1418	YDR448W
""	1443	YDR448W
SC_Transcript_00010790	1428	YDR449C
""	1569	YDR449C
""	1830	YDR449C
SC_Transcript_00000198	1007	YDR450W
SC_Transcript_00000730	988	YDR450W
SC_Transcript_00001552	973	YDR450W
SC_Transcript_00003647	996	YDR450W
SC_Transcript_00003908	1001	YDR450W
SC_Transcript_00005145	1048	YDR450W
SC_Transcript_00006423	1013	YDR450W
SC_Transcript_00007547	1024	YDR450W
SC_Transcript_00008688	1010	YDR450W
SC_Transcript_00008916	965	YDR450W
SC_Transcript_00008922	975	YDR450W
SC_Transcript_00009518	1026	YDR450W
SC_Transcript_00009605	989	YDR450W
SC_Transcript_00009729	1042	YDR450W
SC_Transcript_00010042	1012	YDR450W
SC_Transcript_00010579	1017	YDR450W
SC_Transcript_00011391	987	YDR450W
SC_Transcript_00011751	1020	YDR450W
SC_Transcript_00012546	981	YDR450W
SC_Transcript_00012880	982	YDR450W
SC_Transcript_00013006	1006	YDR450W
SC_Transcript_00013390	976	YDR450W
SC_Transcript_00013444	970	YDR450W
SC_Transcript_00013859	993	YDR450W
SC_Transcript_00014861	983	YDR450W
SC_Transcript_00015261	1006	YDR450W
SC_Transcript_00015451	1032	YDR450W
SC_Transcript_00016921	1018	YDR450W
SC_Transcript_00017316	1086	YDR450W
SC_Transcript_00017471	1000	YDR450W
SC_Transcript_00017899	995	YDR450W
""	1200	YDR450W
""	1203	YDR450W
SC_Transcript_00001141	1314	YDR451C
""	1458	YDR451C
""	1462	YDR451C
SC_Transcript_00002255	2314	YDR452W
SC_Transcript_00006390	2326	YDR452W
SC_Transcript_00006833	2215	YDR452W
SC_Transcript_00014656	2336	YDR452W
SC_Transcript_00015358	2203	YDR452W
""	2362	YDR452W
SC_Transcript_00004406	777	YDR453C
""	964	YDR453C
""	1048	YDR453C
SC_Transcript_00001961	667	YDR454C
SC_Transcript_00004732	678	YDR454C
SC_Transcript_00005764	662	YDR454C
SC_Transcript_00007345	651	YDR454C
SC_Transcript_00007605	704	YDR454C
SC_Transcript_00010365	710	YDR454C
SC_Transcript_00011139	659	YDR454C
SC_Transcript_00012699	680	YDR454C
SC_Transcript_00014176	672	YDR454C
SC_Transcript_00015185	683	YDR454C
SC_Transcript_00016514	696	YDR454C
""	1072	YDR454C
""	1139	YDR454C
SC_Transcript_00003601	2025	YDR456W
SC_Transcript_00006746	2032	YDR456W
SC_Transcript_00016298	2011	YDR456W
""	2092	YDR456W
""	2099	YDR456W
SC_Transcript_00015072	2215	YDR458C
SC_Transcript_00015765	2200	YDR458C
""	2205	YDR458C
""	2298	YDR458C
""	1395	YDR459C
""	1492	YDR459C
""	1308	YDR460W
""	1913	YDR460W
SC_Transcript_00000387	433	YDR461C-A
SC_Transcript_00002106	438	YDR461C-A
SC_Transcript_00003114	366	YDR461C-A
SC_Transcript_00003923	440	YDR461C-A
SC_Transcript_00003951	425	YDR461C-A
SC_Transcript_00004010	414	YDR461C-A
SC_Transcript_00005560	419	YDR461C-A
SC_Transcript_00006915	450	YDR461C-A
SC_Transcript_00011556	473	YDR461C-A
SC_Transcript_00012402	430	YDR461C-A
SC_Transcript_00014007	465	YDR461C-A
SC_Transcript_00014467	398	YDR461C-A
SC_Transcript_00016102	438	YDR461C-A
SC_Transcript_00016104	425	YDR461C-A
SC_Transcript_00016564	449	YDR461C-A
SC_Transcript_00017089	454	YDR461C-A
""	475	YDR461C-A
""	496	YDR461C-A
SC_Transcript_00013696	287	YDR461W
SC_Transcript_00015389	278	YDR461W
""	284	YDR461W
""	1010	YDR461W
SC_Transcript_00000992	626	YDR462W
SC_Transcript_00001044	614	YDR462W
SC_Transcript_00004678	614	YDR462W
SC_Transcript_00006696	619	YDR462W
SC_Transcript_00011262	609	YDR462W
SC_Transcript_00012668	621	YDR462W
""	676	YDR462W
""	676	YDR462W
SC_Transcript_00014025	1793	YDR463W
""	1823	YDR463W
""	1832	YDR463W
SC_Transcript_00001190	1437	YDR465C
SC_Transcript_00012258	1418	YDR465C
""	1589	YDR465C
""	1633	YDR465C
SC_Transcript_00007522	3042	YDR466W
""	2989	YDR466W
""	3039	YDR466W
""	1274	YDR467C
""	1507	YDR467C
SC_Transcript_00000370	873	YDR468C
SC_Transcript_00000409	925	YDR468C
SC_Transcript_00001670	934	YDR468C
SC_Transcript_00004702	893	YDR468C
SC_Transcript_00005786	939	YDR468C
""	1080	YDR468C
""	1100	YDR468C
SC_Transcript_00001519	580	YDR469W
SC_Transcript_00004716	598	YDR469W
SC_Transcript_00007079	619	YDR469W
SC_Transcript_00016941	601	YDR469W
""	1253	YDR469W
""	3656	YDR469W
""	1808	YDR470C
""	1858	YDR470C
SC_Transcript_00000935	935	YDR471W
SC_Transcript_00001166	930	YDR471W
SC_Transcript_00002319	919	YDR471W
SC_Transcript_00003009	912	YDR471W
SC_Transcript_00003352	1047	YDR471W
SC_Transcript_00003838	877	YDR471W
SC_Transcript_00003876	935	YDR471W
SC_Transcript_00004372	925	YDR471W
SC_Transcript_00004766	912	YDR471W
SC_Transcript_00005039	943	YDR471W
SC_Transcript_00005338	1058	YDR471W
SC_Transcript_00005389	912	YDR471W
SC_Transcript_00005739	924	YDR471W
SC_Transcript_00006457	886	YDR471W
SC_Transcript_00006598	914	YDR471W
SC_Transcript_00006660	894	YDR471W
SC_Transcript_00006679	930	YDR471W
SC_Transcript_00007235	937	YDR471W
SC_Transcript_00008377	919	YDR471W
SC_Transcript_00008546	921	YDR471W
SC_Transcript_00008549	948	YDR471W
SC_Transcript_00008732	924	YDR471W
SC_Transcript_00009228	917	YDR471W
SC_Transcript_00009548	947	YDR471W
SC_Transcript_00009648	899	YDR471W
SC_Transcript_00010089	868	YDR471W
SC_Transcript_00010104	953	YDR471W
SC_Transcript_00010255	1040	YDR471W
SC_Transcript_00011623	1063	YDR471W
SC_Transcript_00011868	926	YDR471W
SC_Transcript_00011974	929	YDR471W
SC_Transcript_00011991	956	YDR471W
SC_Transcript_00012598	908	YDR471W
SC_Transcript_00012827	898	YDR471W
SC_Transcript_00013336	889	YDR471W
SC_Transcript_00013448	1066	YDR471W
SC_Transcript_00013850	938	YDR471W
SC_Transcript_00014400	904	YDR471W
SC_Transcript_00014492	1052	YDR471W
SC_Transcript_00014673	933	YDR471W
SC_Transcript_00015203	903	YDR471W
SC_Transcript_00015999	942	YDR471W
SC_Transcript_00016006	898	YDR471W
SC_Transcript_00016536	942	YDR471W
SC_Transcript_00017068	907	YDR471W
SC_Transcript_00017859	893	YDR471W
""	1127	YDR471W
""	1173	YDR471W
SC_Transcript_00000093	1085	YDR472W
""	1229	YDR472W
""	1254	YDR472W
""	1694	YDR473C
""	1718	YDR473C
""	2855	YDR475C
""	2882	YDR475C
SC_Transcript_00015766	867	YDR476C
""	1472	YDR476C
""	1922	YDR476C
SC_Transcript_00002716	2301	YDR477W
SC_Transcript_00008162	2323	YDR477W
SC_Transcript_00008929	2328	YDR477W
SC_Transcript_00008966	2320	YDR477W
SC_Transcript_00009653	2102	YDR477W
SC_Transcript_00010238	2315	YDR477W
""	2343	YDR477W
""	2365	YDR477W
SC_Transcript_00006080	681	YDR478W
""	1757	YDR478W
""	1920	YDR478W
SC_Transcript_00010920	1779	YDR479C
""	1813	YDR479C
""	2003	YDR479C
""	1812	YDR481C
""	1871	YDR481C
SC_Transcript_00005850	644	YDR482C
SC_Transcript_00006438	620	YDR482C
SC_Transcript_00007429	665	YDR482C
SC_Transcript_00007872	569	YDR482C
SC_Transcript_00009761	593	YDR482C
""	708	YDR482C
""	749	YDR482C
SC_Transcript_00000953	1516	YDR483W
SC_Transcript_00001939	1501	YDR483W
SC_Transcript_00006397	1507	YDR483W
SC_Transcript_00007158	1476	YDR483W
SC_Transcript_00007634	1461	YDR483W
SC_Transcript_00009131	1501	YDR483W
SC_Transcript_00010079	1481	YDR483W
SC_Transcript_00011328	1467	YDR483W
SC_Transcript_00013242	1510	YDR483W
SC_Transcript_00013281	1653	YDR483W
SC_Transcript_00013478	1618	YDR483W
SC_Transcript_00014363	1472	YDR483W
SC_Transcript_00016588	1466	YDR483W
SC_Transcript_00016783	1613	YDR483W
SC_Transcript_00017825	1456	YDR483W
""	1663	YDR483W
""	1953	YDR483W
""	2085	YDR484W
""	2103	YDR484W
""	2589	YDR485C
""	2608	YDR485C
SC_Transcript_00009186	814	YDR486C
SC_Transcript_00010391	853	YDR486C
SC_Transcript_00016072	843	YDR486C
SC_Transcript_00017577	821	YDR486C
""	1005	YDR486C
""	1027	YDR486C
SC_Transcript_00014297	768	YDR487C
""	1980	YDR487C
""	2542	YDR487C
""	1802	YDR488C
""	1506	YDR489W
""	2383	YDR489W
""	2557	YDR490C
""	2594	YDR490C
""	1274	YDR492W
""	1455	YDR492W
SC_Transcript_00000339	556	YDR493W
SC_Transcript_00004157	562	YDR493W
SC_Transcript_00015966	572	YDR493W
SC_Transcript_00016337	566	YDR493W
SC_Transcript_00016351	585	YDR493W
SC_Transcript_00016749	575	YDR493W
""	697	YDR493W
""	724	YDR493W
SC_Transcript_00003435	1172	YDR494W
SC_Transcript_00003461	1221	YDR494W
SC_Transcript_00005021	1172	YDR494W
SC_Transcript_00005139	1216	YDR494W
SC_Transcript_00007392	1191	YDR494W
SC_Transcript_00013550	1227	YDR494W
SC_Transcript_00014643	1177	YDR494W
SC_Transcript_00014659	1222	YDR494W
SC_Transcript_00015083	1167	YDR494W
SC_Transcript_00015346	1216	YDR494W
SC_Transcript_00015860	1250	YDR494W
SC_Transcript_00016364	1211	YDR494W
SC_Transcript_00016642	1196	YDR494W
SC_Transcript_00017231	1191	YDR494W
""	1239	YDR494W
""	1289	YDR494W
""	3243	YDR495C
SC_Transcript_00008946	2050	YDR496C
""	2239	YDR496C
""	2245	YDR496C
SC_Transcript_00001942	1887	YDR497C
SC_Transcript_00005185	1928	YDR497C
SC_Transcript_00007177	1915	YDR497C
SC_Transcript_00010493	1909	YDR497C
SC_Transcript_00010501	1907	YDR497C
SC_Transcript_00010848	1902	YDR497C
SC_Transcript_00010894	1922	YDR497C
SC_Transcript_00011638	1914	YDR497C
""	2008	YDR497C
""	2019	YDR497C
SC_Transcript_00005257	1263	YDR498C
SC_Transcript_00006182	1276	YDR498C
SC_Transcript_00008277	1232	YDR498C
SC_Transcript_00015575	1289	YDR498C
""	4713	YDR498C
""	4944	YDR498C
""	2341	YDR499W
""	2387	YDR499W
SC_Transcript_00001135	778	YDR500C
SC_Transcript_00002854	771	YDR500C
SC_Transcript_00006029	778	YDR500C
SC_Transcript_00007729	764	YDR500C
SC_Transcript_00011787	748	YDR500C
SC_Transcript_00011894	753	YDR500C
SC_Transcript_00012491	771	YDR500C
SC_Transcript_00014214	816	YDR500C
SC_Transcript_00017773	759	YDR500C
""	892	YDR500C
""	893	YDR500C
""	1539	YDR502C
""	1696	YDR502C
SC_Transcript_00008181	1026	YDR503C
""	1119	YDR503C
""	1703	YDR504C
""	2009	YDR504C
""	2890	YDR505C
""	2298	YDR506C
""	2303	YDR506C
""	3617	YDR507C
""	3648	YDR507C
SC_Transcript_00005085	2244	YDR508C
SC_Transcript_00005103	2220	YDR508C
SC_Transcript_00005381	2256	YDR508C
SC_Transcript_00007172	2250	YDR508C
SC_Transcript_00010804	2271	YDR508C
SC_Transcript_00012123	2250	YDR508C
SC_Transcript_00016970	2226	YDR508C
SC_Transcript_00017594	2277	YDR508C
""	2308	YDR508C
""	2312	YDR508C
SC_Transcript_00001627	586	YDR510W
SC_Transcript_00002129	503	YDR510W
SC_Transcript_00002416	512	YDR510W
SC_Transcript_00002890	571	YDR510W
SC_Transcript_00003385	515	YDR510W
SC_Transcript_00003578	540	YDR510W
SC_Transcript_00003658	517	YDR510W
SC_Transcript_00003717	505	YDR510W
SC_Transcript_00004514	449	YDR510W
SC_Transcript_00004899	579	YDR510W
SC_Transcript_00005220	525	YDR510W
SC_Transcript_00006204	481	YDR510W
SC_Transcript_00006499	494	YDR510W
SC_Transcript_00006682	507	YDR510W
SC_Transcript_00007289	495	YDR510W
SC_Transcript_00007896	510	YDR510W
SC_Transcript_00008047	510	YDR510W
SC_Transcript_00008613	540	YDR510W
SC_Transcript_00008711	518	YDR510W
SC_Transcript_00008944	436	YDR510W
SC_Transcript_00009585	476	YDR510W
SC_Transcript_00010088	486	YDR510W
SC_Transcript_00010991	489	YDR510W
SC_Transcript_00011239	520	YDR510W
SC_Transcript_00011406	496	YDR510W
SC_Transcript_00011901	439	YDR510W
SC_Transcript_00012367	444	YDR510W
SC_Transcript_00012977	501	YDR510W
SC_Transcript_00013082	578	YDR510W
SC_Transcript_00013091	476	YDR510W
SC_Transcript_00013245	532	YDR510W
SC_Transcript_00014610	547	YDR510W
SC_Transcript_00015025	485	YDR510W
SC_Transcript_00015173	457	YDR510W
SC_Transcript_00016385	525	YDR510W
SC_Transcript_00017645	556	YDR510W
SC_Transcript_00017700	490	YDR510W
SC_Transcript_00017786	533	YDR510W
""	1190	YDR510W
""	1237	YDR510W
SC_Transcript_00005375	492	YDR511W
SC_Transcript_00007352	538	YDR511W
SC_Transcript_00009967	498	YDR511W
SC_Transcript_00014655	485	YDR511W
""	1193	YDR511W
""	1212	YDR511W
""	777	YDR512C
SC_Transcript_00000120	537	YDR513W
SC_Transcript_00000704	550	YDR513W
SC_Transcript_00001153	519	YDR513W
SC_Transcript_00001940	548	YDR513W
SC_Transcript_00002481	549	YDR513W
SC_Transcript_00003823	589	YDR513W
SC_Transcript_00004050	527	YDR513W
SC_Transcript_00004320	562	YDR513W
SC_Transcript_00004744	537	YDR513W
SC_Transcript_00006712	532	YDR513W
SC_Transcript_00006888	518	YDR513W
SC_Transcript_00007045	558	YDR513W
SC_Transcript_00007455	522	YDR513W
SC_Transcript_00007665	538	YDR513W
SC_Transcript_00007867	530	YDR513W
SC_Transcript_00008168	502	YDR513W
SC_Transcript_00009111	524	YDR513W
SC_Transcript_00009293	544	YDR513W
SC_Transcript_00010400	533	YDR513W
SC_Transcript_00010562	524	YDR513W
SC_Transcript_00011082	543	YDR513W
SC_Transcript_00012375	512	YDR513W
SC_Transcript_00013002	529	YDR513W
SC_Transcript_00013482	514	YDR513W
SC_Transcript_00014154	536	YDR513W
SC_Transcript_00014949	555	YDR513W
SC_Transcript_00015160	570	YDR513W
SC_Transcript_00015926	542	YDR513W
""	1453	YDR513W
""	1533	YDR513W
SC_Transcript_00003413	1594	YDR514C
""	1630	YDR514C
""	1652	YDR514C
SC_Transcript_00010353	1667	YDR515W
SC_Transcript_00014676	1656	YDR515W
SC_Transcript_00016110	1682	YDR515W
""	1594	YDR515W
""	1671	YDR515W
SC_Transcript_00000875	1613	YDR516C
SC_Transcript_00001452	1679	YDR516C
SC_Transcript_00001812	1674	YDR516C
SC_Transcript_00003207	1651	YDR516C
SC_Transcript_00008017	1625	YDR516C
SC_Transcript_00010732	1661	YDR516C
SC_Transcript_00011344	1656	YDR516C
SC_Transcript_00011373	1666	YDR516C
SC_Transcript_00012076	1711	YDR516C
SC_Transcript_00012327	1661	YDR516C
SC_Transcript_00015048	1630	YDR516C
SC_Transcript_00015826	1716	YDR516C
SC_Transcript_00015827	1618	YDR516C
""	1734	YDR516C
""	1746	YDR516C
SC_Transcript_00005579	1295	YDR517W
SC_Transcript_00007319	1256	YDR517W
SC_Transcript_00009994	1286	YDR517W
SC_Transcript_00012506	1271	YDR517W
SC_Transcript_00015580	1266	YDR517W
""	1642	YDR517W
""	1837	YDR517W
SC_Transcript_00001992	1622	YDR518W
SC_Transcript_00009366	1634	YDR518W
SC_Transcript_00015567	1634	YDR518W
SC_Transcript_00016419	1629	YDR518W
""	1743	YDR518W
""	1744	YDR518W
SC_Transcript_00001192	661	YDR519W
SC_Transcript_00001819	648	YDR519W
SC_Transcript_00001964	643	YDR519W
SC_Transcript_00002827	610	YDR519W
SC_Transcript_00003299	655	YDR519W
SC_Transcript_00003329	671	YDR519W
SC_Transcript_00003881	638	YDR519W
SC_Transcript_00004295	615	YDR519W
SC_Transcript_00004503	643	YDR519W
SC_Transcript_00005946	590	YDR519W
SC_Transcript_00006495	672	YDR519W
SC_Transcript_00008258	660	YDR519W
SC_Transcript_00009444	609	YDR519W
SC_Transcript_00009621	646	YDR519W
SC_Transcript_00009800	627	YDR519W
SC_Transcript_00010012	660	YDR519W
SC_Transcript_00010135	688	YDR519W
SC_Transcript_00010801	633	YDR519W
SC_Transcript_00011106	621	YDR519W
SC_Transcript_00013879	641	YDR519W
SC_Transcript_00013920	604	YDR519W
SC_Transcript_00014199	676	YDR519W
SC_Transcript_00014259	678	YDR519W
SC_Transcript_00014774	624	YDR519W
SC_Transcript_00015086	637	YDR519W
SC_Transcript_00015253	596	YDR519W
SC_Transcript_00015585	655	YDR519W
SC_Transcript_00016148	629	YDR519W
SC_Transcript_00016388	627	YDR519W
SC_Transcript_00016463	666	YDR519W
SC_Transcript_00016533	643	YDR519W
SC_Transcript_00017209	656	YDR519W
""	1091	YDR519W
""	1759	YDR519W
""	2535	YDR520C
""	2549	YDR520C
""	1749	YDR523C
""	2000	YDR524C
""	2022	YDR524C
""	640	YDR524C-A
""	1036	YDR524C-A
SC_Transcript_00000064	569	YDR524C-B
SC_Transcript_00000134	291	YDR524C-B
SC_Transcript_00000168	565	YDR524C-B
SC_Transcript_00000392	300	YDR524C-B
SC_Transcript_00000520	393	YDR524C-B
SC_Transcript_00000691	560	YDR524C-B
SC_Transcript_00000749	572	YDR524C-B
SC_Transcript_00000807	519	YDR524C-B
SC_Transcript_00000813	491	YDR524C-B
SC_Transcript_00000835	404	YDR524C-B
SC_Transcript_00000939	484	YDR524C-B
SC_Transcript_00001066	601	YDR524C-B
SC_Transcript_00001315	578	YDR524C-B
SC_Transcript_00001321	536	YDR524C-B
SC_Transcript_00001394	387	YDR524C-B
SC_Transcript_00001427	535	YDR524C-B
SC_Transcript_00001512	543	YDR524C-B
SC_Transcript_00001585	542	YDR524C-B
SC_Transcript_00001601	417	YDR524C-B
SC_Transcript_00001634	536	YDR524C-B
SC_Transcript_00001774	547	YDR524C-B
SC_Transcript_00001794	286	YDR524C-B
SC_Transcript_00001861	536	YDR524C-B
SC_Transcript_00001875	568	YDR524C-B
SC_Transcript_00002160	298	YDR524C-B
SC_Transcript_00002167	577	YDR524C-B
SC_Transcript_00002370	543	YDR524C-B
SC_Transcript_00002428	490	YDR524C-B
SC_Transcript_00002561	566	YDR524C-B
SC_Transcript_00002626	555	YDR524C-B
SC_Transcript_00002679	426	YDR524C-B
SC_Transcript_00002704	533	YDR524C-B
SC_Transcript_00002762	554	YDR524C-B
SC_Transcript_00002895	600	YDR524C-B
SC_Transcript_00002954	307	YDR524C-B
SC_Transcript_00003023	518	YDR524C-B
SC_Transcript_00003061	553	YDR524C-B
SC_Transcript_00003142	606	YDR524C-B
SC_Transcript_00003157	577	YDR524C-B
SC_Transcript_00003170	585	YDR524C-B
SC_Transcript_00003417	548	YDR524C-B
SC_Transcript_00003550	559	YDR524C-B
SC_Transcript_00003622	432	YDR524C-B
SC_Transcript_00003643	345	YDR524C-B
SC_Transcript_00003885	398	YDR524C-B
SC_Transcript_00003889	576	YDR524C-B
SC_Transcript_00004120	581	YDR524C-B
SC_Transcript_00004128	558	YDR524C-B
SC_Transcript_00004165	516	YDR524C-B
SC_Transcript_00004283	524	YDR524C-B
SC_Transcript_00004297	284	YDR524C-B
SC_Transcript_00004298	354	YDR524C-B
SC_Transcript_00004354	525	YDR524C-B
SC_Transcript_00004468	557	YDR524C-B
SC_Transcript_00004559	565	YDR524C-B
SC_Transcript_00004568	557	YDR524C-B
SC_Transcript_00004619	524	YDR524C-B
SC_Transcript_00004624	416	YDR524C-B
SC_Transcript_00004673	497	YDR524C-B
SC_Transcript_00004709	312	YDR524C-B
SC_Transcript_00004796	367	YDR524C-B
SC_Transcript_00004861	573	YDR524C-B
SC_Transcript_00005133	443	YDR524C-B
SC_Transcript_00005171	551	YDR524C-B
SC_Transcript_00005448	340	YDR524C-B
SC_Transcript_00005454	449	YDR524C-B
SC_Transcript_00005480	291	YDR524C-B
SC_Transcript_00005530	588	YDR524C-B
SC_Transcript_00005561	416	YDR524C-B
SC_Transcript_00005572	580	YDR524C-B
SC_Transcript_00005598	494	YDR524C-B
SC_Transcript_00005734	504	YDR524C-B
SC_Transcript_00005929	571	YDR524C-B
SC_Transcript_00006044	381	YDR524C-B
SC_Transcript_00006065	531	YDR524C-B
SC_Transcript_00006219	512	YDR524C-B
SC_Transcript_00006298	551	YDR524C-B
SC_Transcript_00006567	317	YDR524C-B
SC_Transcript_00006628	548	YDR524C-B
SC_Transcript_00006671	574	YDR524C-B
SC_Transcript_00006676	588	YDR524C-B
SC_Transcript_00006701	571	YDR524C-B
SC_Transcript_00006898	505	YDR524C-B
SC_Transcript_00006965	360	YDR524C-B
SC_Transcript_00007154	556	YDR524C-B
SC_Transcript_00007359	522	YDR524C-B
SC_Transcript_00007485	549	YDR524C-B
SC_Transcript_00007576	501	YDR524C-B
SC_Transcript_00007596	538	YDR524C-B
SC_Transcript_00007646	306	YDR524C-B
SC_Transcript_00007690	486	YDR524C-B
SC_Transcript_00007726	293	YDR524C-B
SC_Transcript_00007797	492	YDR524C-B
SC_Transcript_00007930	562	YDR524C-B
SC_Transcript_00007937	564	YDR524C-B
SC_Transcript_00008004	560	YDR524C-B
SC_Transcript_00008014	616	YDR524C-B
SC_Transcript_00008090	530	YDR524C-B
SC_Transcript_00008200	278	YDR524C-B
SC_Transcript_00008235	324	YDR524C-B
SC_Transcript_00008253	317	YDR524C-B
SC_Transcript_00009530	571	YDR524C-B
SC_Transcript_00009843	524	YDR524C-B
SC_Transcript_00009909	544	YDR524C-B
SC_Transcript_00009964	513	YDR524C-B
SC_Transcript_00010043	582	YDR524C-B
SC_Transcript_00010062	522	YDR524C-B
SC_Transcript_00010099	559	YDR524C-B
SC_Transcript_00010132	530	YDR524C-B
SC_Transcript_00010166	537	YDR524C-B
SC_Transcript_00010196	349	YDR524C-B
SC_Transcript_00010440	513	YDR524C-B
SC_Transcript_00010461	328	YDR524C-B
SC_Transcript_00010463	536	YDR524C-B
SC_Transcript_00010605	487	YDR524C-B
SC_Transcript_00010647	473	YDR524C-B
SC_Transcript_00010670	566	YDR524C-B
SC_Transcript_00010699	500	YDR524C-B
SC_Transcript_00010981	519	YDR524C-B
SC_Transcript_00011332	509	YDR524C-B
SC_Transcript_00011662	484	YDR524C-B
SC_Transcript_00011870	487	YDR524C-B
SC_Transcript_00011872	548	YDR524C-B
SC_Transcript_00011889	499	YDR524C-B
SC_Transcript_00011908	596	YDR524C-B
SC_Transcript_00012011	531	YDR524C-B
SC_Transcript_00012070	539	YDR524C-B
SC_Transcript_00012120	591	YDR524C-B
SC_Transcript_00012173	550	YDR524C-B
SC_Transcript_00012338	480	YDR524C-B
SC_Transcript_00012404	515	YDR524C-B
SC_Transcript_00012445	496	YDR524C-B
SC_Transcript_00012694	541	YDR524C-B
SC_Transcript_00012696	311	YDR524C-B
SC_Transcript_00012802	305	YDR524C-B
SC_Transcript_00013005	579	YDR524C-B
SC_Transcript_00013122	486	YDR524C-B
SC_Transcript_00013177	374	YDR524C-B
SC_Transcript_00013185	517	YDR524C-B
SC_Transcript_00013333	568	YDR524C-B
SC_Transcript_00013421	544	YDR524C-B
SC_Transcript_00013475	507	YDR524C-B
SC_Transcript_00013508	530	YDR524C-B
SC_Transcript_00013604	385	YDR524C-B
SC_Transcript_00013719	504	YDR524C-B
SC_Transcript_00013780	544	YDR524C-B
SC_Transcript_00013846	510	YDR524C-B
SC_Transcript_00013965	519	YDR524C-B
SC_Transcript_00013978	502	YDR524C-B
SC_Transcript_00014005	517	YDR524C-B
SC_Transcript_00014052	479	YDR524C-B
SC_Transcript_00014058	524	YDR524C-B
SC_Transcript_00014179	519	YDR524C-B
SC_Transcript_00014277	322	YDR524C-B
SC_Transcript_00014388	483	YDR524C-B
SC_Transcript_00014393	513	YDR524C-B
SC_Transcript_00014523	510	YDR524C-B
SC_Transcript_00014567	529	YDR524C-B
SC_Transcript_00014584	542	YDR524C-B
SC_Transcript_00014638	554	YDR524C-B
SC_Transcript_00014982	563	YDR524C-B
SC_Transcript_00015063	519	YDR524C-B
SC_Transcript_00015177	366	YDR524C-B
SC_Transcript_00015247	507	YDR524C-B
SC_Transcript_00015264	496	YDR524C-B
SC_Transcript_00015354	594	YDR524C-B
SC_Transcript_00015394	586	YDR524C-B
SC_Transcript_00015471	279	YDR524C-B
SC_Transcript_00015620	537	YDR524C-B
SC_Transcript_00015652	503	YDR524C-B
SC_Transcript_00015705	525	YDR524C-B
SC_Transcript_00015807	588	YDR524C-B
SC_Transcript_00015872	529	YDR524C-B
SC_Transcript_00015901	506	YDR524C-B
SC_Transcript_00015965	511	YDR524C-B
SC_Transcript_00015970	610	YDR524C-B
SC_Transcript_00015972	334	YDR524C-B
