Gene	Gene Systematic Name	Phenotype	Experiment Type	Experiment Type Category	Mutant Information	Strain Background	Chemical	Details	Reference
DSL1	YNL258C	inviable 	systematic mutation set	large-scale survey	null Allele: dsl1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DSN1	YIR010W	inviable 	systematic mutation set	large-scale survey	null Allele: dsn1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DUO1	YGL061C	inviable 	systematic mutation set	large-scale survey	null Allele: duo1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DUT1	YBR252W	inviable 	systematic mutation set	large-scale survey	null Allele: dut1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DYS1	YHR068W	inviable 	systematic mutation set	large-scale survey	null Allele: dys1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
EBP2	YKL172W	inviable 	systematic mutation set	large-scale survey	null Allele: ebp2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ECM16	YMR128W	inviable 	systematic mutation set	large-scale survey	null Allele: ecm16-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ECM9	YKR004C	inviable 	systematic mutation set	large-scale survey	null Allele: ecm9-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ECO1	YFR027W	inviable 	systematic mutation set	large-scale survey	null Allele: eco1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
EFB1	YAL003W	inviable 	systematic mutation set	large-scale survey	null Allele: efb1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
EMG1	YLR186W	inviable 	systematic mutation set	large-scale survey	null Allele: emg1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
EMW1	YNL313C	inviable 	systematic mutation set	large-scale survey	null Allele: emw1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ENP1	YBR247C	inviable 	systematic mutation set	large-scale survey	null Allele: enp1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ENP2	YGR145W	inviable 	systematic mutation set	large-scale survey	null Allele: enp2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
EPL1	YFL024C	inviable 	systematic mutation set	large-scale survey	null Allele: epl1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
EPL1	YFL024C	inviable 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: epl1-Δ	SK1			Rabitsch KP, et al. (2001) PMID:11470404
ERB1	YMR049C	inviable 	systematic mutation set	large-scale survey	null Allele: erb1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ERD2	YBL040C	inviable 	systematic mutation set	large-scale survey	null Allele: erd2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ERG1	YGR175C	inviable 	systematic mutation set	large-scale survey	null Allele: erg1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ERG10	YPL028W	inviable 	systematic mutation set	large-scale survey	null Allele: erg10-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ERG11	YHR007C	inviable 	systematic mutation set	large-scale survey	null Allele: erg11-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ERG12	YMR208W	inviable 	systematic mutation set	large-scale survey	null Allele: erg12-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ERG13	YML126C	inviable 	systematic mutation set	large-scale survey	null Allele: erg13-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ERG20	YJL167W	inviable 	systematic mutation set	large-scale survey	null Allele: erg20-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ERG25	YGR060W	inviable 	systematic mutation set	large-scale survey	null Allele: erg25-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ERG26	YGL001C	inviable 	systematic mutation set	large-scale survey	null Allele: erg26-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ERG27	YLR100W	inviable 	systematic mutation set	large-scale survey	null Allele: erg27-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ERG29	YMR134W	inviable 	systematic mutation set	large-scale survey	null Allele: erg29-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ERG7	YHR072W	inviable 	systematic mutation set	large-scale survey	null Allele: erg7-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ERG8	YMR220W	inviable 	systematic mutation set	large-scale survey	null Allele: erg8-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ERG9	YHR190W	inviable 	systematic mutation set	large-scale survey	null Allele: erg9-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ERO1	YML130C	inviable 	systematic mutation set	large-scale survey	null Allele: ero1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ERV1	YGR029W	inviable 	systematic mutation set	large-scale survey	null Allele: erv1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ESA1	YOR244W	inviable 	systematic mutation set	large-scale survey	null Allele: esa1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ESF1	YDR365C	inviable 	systematic mutation set	large-scale survey	null Allele: esf1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ESF2	YNR054C	inviable 	systematic mutation set	large-scale survey	null Allele: esf2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ESP1	YGR098C	inviable 	systematic mutation set	large-scale survey	null Allele: esp1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ESS1	YJR017C	inviable 	systematic mutation set	large-scale survey	null Allele: ess1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
EXO70	YJL085W	inviable 	systematic mutation set	large-scale survey	null Allele: exo70-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
EXO84	YBR102C	inviable 	systematic mutation set	large-scale survey	null Allele: exo84-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
FAD1	YDL045C	inviable 	systematic mutation set	large-scale survey	null Allele: fad1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
FAF1	YIL019W	inviable 	systematic mutation set	large-scale survey	null Allele: faf1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
FAL1	YDR021W	inviable 	systematic mutation set	large-scale survey	null Allele: fal1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
FAP7	YDL166C	inviable 	systematic mutation set	large-scale survey	null Allele: fap7-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
FAS1	YKL182W	inviable 	systematic mutation set	large-scale survey	null Allele: fas1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
FAS2	YPL231W	inviable 	systematic mutation set	large-scale survey	null Allele: fas2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
FBA1	YKL060C	inviable 	systematic mutation set	large-scale survey	null Allele: fba1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
FCF1	YDR339C	inviable 	systematic mutation set	large-scale survey	null Allele: fcf1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
FCF2	YLR051C	inviable 	systematic mutation set	large-scale survey	null Allele: fcf2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
FCP1	YMR277W	inviable 	systematic mutation set	large-scale survey	null Allele: fcp1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
FHL1	YPR104C	inviable 	systematic mutation set	large-scale survey	null Allele: fhl1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
FIP1	YJR093C	inviable 	systematic mutation set	large-scale survey	null Allele: fip1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
FMN1	YDR236C	inviable 	systematic mutation set	large-scale survey	null Allele: fmn1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
FMP27	YLR454W	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: fmp27-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
FOL1	YNL256W	inviable 	systematic mutation set	large-scale survey	null Allele: fol1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
FOL2	YGR267C	inviable 	systematic mutation set	large-scale survey	null Allele: fol2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
FOL3	YMR113W	inviable 	systematic mutation set	large-scale survey	null Allele: fol3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
FRQ1	YDR373W	inviable 	systematic mutation set	large-scale survey	null Allele: frq1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
FRS1	YLR060W	inviable 	systematic mutation set	large-scale survey	null Allele: frs1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
FRS2	YFL022C	inviable 	systematic mutation set	large-scale survey	null Allele: frs2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
FUR1	YHR128W	inviable 	systematic mutation set	large-scale survey	null Allele: fur1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GAA1	YLR088W	inviable 	systematic mutation set	large-scale survey	null Allele: gaa1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GAB1	YLR459W	inviable 	systematic mutation set	large-scale survey	null Allele: gab1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GCD1	YOR260W	inviable 	systematic mutation set	large-scale survey	null Allele: gcd1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GCD10	YNL062C	inviable 	systematic mutation set	large-scale survey	null Allele: gcd10-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GCD11	YER025W	inviable 	systematic mutation set	large-scale survey	null Allele: gcd11-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GCD14	YJL125C	inviable 	systematic mutation set	large-scale survey	null Allele: gcd14-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GCD2	YGR083C	inviable 	systematic mutation set	large-scale survey	null Allele: gcd2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GCD6	YDR211W	inviable 	systematic mutation set	large-scale survey	null Allele: gcd6-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GCD7	YLR291C	inviable 	systematic mutation set	large-scale survey	null Allele: gcd7-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GCR1	YPL075W	inviable 	systematic mutation set	large-scale survey	null Allele: gcr1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GDI1	YER136W	inviable 	systematic mutation set	large-scale survey	null Allele: gdi1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GFA1	YKL104C	inviable 	systematic mutation set	large-scale survey	null Allele: gfa1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GLC7	YER133W	inviable 	systematic mutation set	large-scale survey	null Allele: glc7-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GLE1	YDL207W	inviable 	systematic mutation set	large-scale survey	null Allele: gle1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GLN1	YPR035W	inviable 	systematic mutation set	large-scale survey	null Allele: gln1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GLN4	YOR168W	inviable 	systematic mutation set	large-scale survey	null Allele: gln4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GNA1	YFL017C	inviable 	systematic mutation set	large-scale survey	null Allele: gna1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GON7	YJL184W	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: gon7-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
GPI1	YGR216C	inviable 	systematic mutation set	large-scale survey	null Allele: gpi1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GPI10	YGL142C	inviable 	systematic mutation set	large-scale survey	null Allele: gpi10-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GPI11	YDR302W	inviable 	systematic mutation set	large-scale survey	null Allele: gpi11-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GPI12	YMR281W	inviable 	systematic mutation set	large-scale survey	null Allele: gpi12-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GPI13	YLL031C	inviable 	systematic mutation set	large-scale survey	null Allele: gpi13-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GPI14	YJR013W	inviable 	systematic mutation set	large-scale survey	null Allele: gpi14-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GPI15	YNL038W	inviable 	systematic mutation set	large-scale survey	null Allele: gpi15-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GPI16	YHR188C	inviable 	systematic mutation set	large-scale survey	null Allele: gpi16-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GPI17	YDR434W	inviable 	systematic mutation set	large-scale survey	null Allele: gpi17-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GPI18	YBR004C	inviable 	systematic mutation set	large-scale survey	null Allele: gpi18-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GPI19	YDR437W	inviable 	systematic mutation set	large-scale survey	null Allele: gpi19-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GPI2	YPL076W	inviable 	systematic mutation set	large-scale survey	null Allele: gpi2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GPI8	YDR331W	inviable 	systematic mutation set	large-scale survey	null Allele: gpi8-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GPM1	YKL152C	inviable 	systematic mutation set	large-scale survey	null Allele: gpm1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GPN2	YOR262W	inviable 	systematic mutation set	large-scale survey	null Allele: gpn2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GPN3	YLR243W	inviable 	systematic mutation set	large-scale survey	null Allele: gpn3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GRC3	YLL035W	inviable 	systematic mutation set	large-scale survey	null Allele: grc3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GRS1	YBR121C	inviable 	systematic mutation set	large-scale survey	null Allele: grs1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GSP1	YLR293C	inviable 	systematic mutation set	large-scale survey	null Allele: gsp1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GUK1	YDR454C	inviable 	systematic mutation set	large-scale survey	null Allele: guk1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GUS1	YGL245W	inviable 	systematic mutation set	large-scale survey	null Allele: gus1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
GWT1	YJL091C	inviable 	systematic mutation set	large-scale survey	null Allele: gwt1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
HAS1	YMR290C	inviable 	systematic mutation set	large-scale survey	null Allele: has1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
HCA4	YJL033W	inviable 	systematic mutation set	large-scale survey	null Allele: hca4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
HEM1	YDR232W	inviable 	systematic mutation set	large-scale survey	null Allele: hem1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
HEM12	YDR047W	inviable 	systematic mutation set	large-scale survey	null Allele: hem12-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
HEM13	YDR044W	inviable 	systematic mutation set	large-scale survey	null Allele: hem13-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
HEM15	YOR176W	inviable 	systematic mutation set	large-scale survey	null Allele: hem15-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
HEM2	YGL040C	inviable 	systematic mutation set	large-scale survey	null Allele: hem2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
HEM3	YDL205C	inviable 	systematic mutation set	large-scale survey	null Allele: hem3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
HEM4	YOR278W	inviable 	systematic mutation set	large-scale survey	null Allele: hem4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
HIP1	YGR191W	inviable 	systematic mutation set	large-scale survey	null Allele: hip1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
HRP1	YOL123W	inviable 	systematic mutation set	large-scale survey	null Allele: hrp1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
HRR25	YPL204W	inviable 	systematic mutation set	large-scale survey	null Allele: hrr25-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
HRT1	YOL133W	inviable 	systematic mutation set	large-scale survey	null Allele: hrt1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
HSF1	YGL073W	inviable 	systematic mutation set	large-scale survey	null Allele: hsf1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
HSH155	YMR288W	inviable 	systematic mutation set	large-scale survey	null Allele: hsh155-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
HSH49	YOR319W	inviable 	systematic mutation set	large-scale survey	null Allele: hsh49-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
HSK3	YKL138C-A	inviable 	systematic mutation set	large-scale survey	null Allele: hsk3-Δ	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
HSP10	YOR020C	inviable 	systematic mutation set	large-scale survey	null Allele: hsp10-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
HSP60	YLR259C	inviable 	systematic mutation set	large-scale survey	null Allele: hsp60-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
HTB1	YDR224C	inviable 	systematic mutation set	large-scale survey	null Allele: htb1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
HTS1	YPR033C	inviable 	systematic mutation set	large-scale survey	null Allele: hts1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
HYM1	YKL189W	inviable 	systematic mutation set	large-scale survey	null Allele: hym1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
HYP2	YEL034W	inviable 	systematic mutation set	large-scale survey	null Allele: hyp2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
IDI1	YPL117C	inviable 	systematic mutation set	large-scale survey	null Allele: idi1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
IES6	YEL044W	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: ies6-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
IFH1	YLR223C	inviable 	systematic mutation set	large-scale survey	null Allele: ifh1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ILS1	YBL076C	inviable 	systematic mutation set	large-scale survey	null Allele: ils1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ILV3	YJR016C	inviable 	systematic mutation set	large-scale survey	null Allele: ilv3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ILV5	YLR355C	inviable 	systematic mutation set	large-scale survey	null Allele: ilv5-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
IMP3	YHR148W	inviable 	systematic mutation set	large-scale survey	null Allele: imp3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
IMP4	YNL075W	inviable 	systematic mutation set	large-scale survey	null Allele: imp4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
INN1	YNL152W	inviable 	systematic mutation set	large-scale survey	null Allele: inn1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
INO80	YGL150C	inviable 	systematic mutation set	large-scale survey	null Allele: ino80-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
IPA1	YJR141W	inviable 	systematic mutation set	large-scale survey	null Allele: ipa1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
IPI1	YHR085W	inviable 	systematic mutation set	large-scale survey	null Allele: ipi1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
IPI3	YNL182C	inviable 	systematic mutation set	large-scale survey	null Allele: ipi3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
IPL1	YPL209C	inviable 	systematic mutation set	large-scale survey	null Allele: ipl1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
IPP1	YBR011C	inviable 	systematic mutation set	large-scale survey	null Allele: ipp1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
IQG1	YPL242C	inviable 	systematic mutation set	large-scale survey	null Allele: iqg1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
IRA1	YBR140C	inviable 	systematic mutation set	large-scale survey	null Allele: ira1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
IRR1	YIL026C	inviable 	systematic mutation set	large-scale survey	null Allele: irr1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ISD11	YER048W-A	inviable 	systematic mutation set	large-scale survey	null Allele: isd11-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
JAC1	YGL018C	inviable 	systematic mutation set	large-scale survey	null Allele: jac1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
JIP5	YPR169W	inviable 	systematic mutation set	large-scale survey	null Allele: jip5-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
KAE1	YKR038C	inviable 	systematic mutation set	large-scale survey	null Allele: kae1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
KAP95	YLR347C	inviable 	systematic mutation set	large-scale survey	null Allele: kap95-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
KAR1	YNL188W	inviable 	systematic mutation set	large-scale survey	null Allele: kar1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
KAR2	YJL034W	inviable 	systematic mutation set	large-scale survey	null Allele: kar2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
KEG1	YFR042W	inviable 	systematic mutation set	large-scale survey	null Allele: keg1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
KEI1	YDR367W	inviable 	systematic mutation set	large-scale survey	null Allele: kei1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
KIN28	YDL108W	inviable 	systematic mutation set	large-scale survey	null Allele: kin28-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
KOG1	YHR186C	inviable 	systematic mutation set	large-scale survey	null Allele: kog1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
KRE29	YER038C	inviable 	systematic mutation set	large-scale survey	null Allele: kre29-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
KRE33	YNL132W	inviable 	systematic mutation set	large-scale survey	null Allele: kre33-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
KRE5	YOR336W	inviable 	systematic mutation set	large-scale survey	null Allele: kre5-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
KRE9	YJL174W	inviable 	systematic mutation set	large-scale survey	null Allele: kre9-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
KRI1	YNL308C	inviable 	systematic mutation set	large-scale survey	null Allele: kri1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
KRR1	YCL059C	inviable 	systematic mutation set	large-scale survey	null Allele: krr1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
KRS1	YDR037W	inviable 	systematic mutation set	large-scale survey	null Allele: krs1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
KSH1	YNL024C-A	inviable 	systematic mutation set	large-scale survey	null Allele: ksh1-Δ	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
LAS1	YKR063C	inviable 	systematic mutation set	large-scale survey	null Allele: las1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
LAS17	YOR181W	inviable 	systematic mutation set	large-scale survey	null Allele: las17-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
LCB1	YMR296C	inviable 	systematic mutation set	large-scale survey	null Allele: lcb1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
LCB2	YDR062W	inviable 	systematic mutation set	large-scale survey	null Allele: lcb2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
LCD1	YDR499W	inviable 	systematic mutation set	large-scale survey	null Allele: lcd1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
LCD1	YDR499W	inviable 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: lcd1-Δ	SK1			Rabitsch KP, et al. (2001) PMID:11470404
LCP5	YER127W	inviable 	systematic mutation set	large-scale survey	null Allele: lcp5-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
LEA1	YPL213W	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: lea1-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
LIP1	YMR298W	inviable 	systematic mutation set	large-scale survey	null Allele: lip1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
LSG1	YGL099W	inviable 	systematic mutation set	large-scale survey	null Allele: lsg1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
LSM2	YBL026W	inviable 	systematic mutation set	large-scale survey	null Allele: lsm2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
LSM3	YLR438C-A	inviable 	systematic mutation set	large-scale survey	null Allele: lsm3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
LSM4	YER112W	inviable 	systematic mutation set	large-scale survey	null Allele: lsm4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
LSM5	YER146W	inviable 	systematic mutation set	large-scale survey	null Allele: lsm5-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
LSM6	YDR378C	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: lsm6-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
LSM7	YNL147W	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: lsm7-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
LSM8	YJR022W	inviable 	systematic mutation set	large-scale survey	null Allele: lsm8-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
LST8	YNL006W	inviable 	systematic mutation set	large-scale survey	null Allele: lst8-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
LTO1	YNL260C	inviable 	systematic mutation set	large-scale survey	null Allele: lto1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
LUC7	YDL087C	inviable 	systematic mutation set	large-scale survey	null Allele: luc7-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MAK11	YKL021C	inviable 	systematic mutation set	large-scale survey	null Allele: mak11-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MAK16	YAL025C	inviable 	systematic mutation set	large-scale survey	null Allele: mak16-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MAK21	YDR060W	inviable 	systematic mutation set	large-scale survey	null Allele: mak21-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MAK5	YBR142W	inviable 	systematic mutation set	large-scale survey	null Allele: mak5-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MAS1	YLR163C	inviable 	systematic mutation set	large-scale survey	null Allele: mas1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MAS2	YHR024C	inviable 	systematic mutation set	large-scale survey	null Allele: mas2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MCD1	YDL003W	inviable 	systematic mutation set	large-scale survey	null Allele: mcd1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MCD4	YKL165C	inviable 	systematic mutation set	large-scale survey	null Allele: mcd4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MCM1	YMR043W	inviable 	systematic mutation set	large-scale survey	null Allele: mcm1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MCM10	YIL150C	inviable 	systematic mutation set	large-scale survey	null Allele: mcm10-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MCM2	YBL023C	inviable 	systematic mutation set	large-scale survey	null Allele: mcm2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MCM22	YJR135C	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: mcm22-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
MCM3	YEL032W	inviable 	systematic mutation set	large-scale survey	null Allele: mcm3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MCM4	YPR019W	inviable 	systematic mutation set	large-scale survey	null Allele: mcm4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MCM5	YLR274W	inviable 	systematic mutation set	large-scale survey	null Allele: mcm5-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MCM6	YGL201C	inviable 	systematic mutation set	large-scale survey	null Allele: mcm6-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
