Name	SGD_Start	SGD_End	5'-UTR_Start	3'-UTR_End	5'-UTR_length	3'-UTR_length	Transcription_level(log2)
YIL111W	155219	155762	155197	155796	22	34	7.129283017
YIL110W	156042	157175	156003	157741	39	566	5.554588852
YIL109C	160162	157382	160251	157286	89	96	7.118941073
YIL108W	160884	162974	160790	163102	94	128	4.169925001
YIL107C	165758	163275	165918	163237	160	38	4
YIL106W	166412	167441	166309	167524	103	83	4.392317423
YIL105W-A	167661	167801					
YIL105C	169638	167578	169769	167565	131	13	
YIL104C	171502	169979	171557	169923	55	56	3.700439718
YIL103W	171748	173025	171721	173099	27	74	4.357552005
YIL102C-A	173589	173362	173659	172215	70	1147	3.247927513
YIL102C	174884	174579					0
YIL101C	177247	175304					2.321928095
YIL100W	177370	177723					
YIL100C-A	177678	177340		177317		23	
YIL099W	178001	179650	177936	179672	65	22	1.584962501
YIL098C	180236	179769	180273	179702	37	67	4.554588852
YIL097W	180424	181974	180406	182085	18	111	3.807354922
YIL096C	183124	182114	183155	182017	31	97	4.129283017
YIL095W	183934	186366	183822	186441	112	75	3.700439718
YIL094C	187629	186514	187693	186487	64	27	7.312882955
YIL093C	188781	187987	188849	187810	68	177	3.584962501
YIL092W	189063	190964					
YIL091C	193192	191027	193219	190966	27	61	
YIL090W	193592	195067	193469	195384	123	317	4.614709844
YIL089W	195596	196213					1
YIL088C	199400	197928	199450	197860	50	68	6.22881869
YIL087C	200116	199643		199597		46	4.169925001
YIL086C	200458	200150					
YIL085C	202040	200487	202110	200443	70	44	
YIL084C	203256	202273		200998		1275	0
YIL083C	204650	203553	204740	203457	90	96	4.584962501
YIL082W	205632	206504					
YIL079C	212002	210920	212014	210803	12	117	4.087462841
YIL078W	212496	214700	212458	214775	38	75	7.214319121
YIL077C	215950	214988	215958	214877	8	111	3.906890596
YIL076W	216655	217545	216644	217710	11	165	7.573647187
YIL075C	220697	217860	220750	217785	53	75	7.108524457
YIL074C	222487	221078	222601	221051	114	27	7.139551352
YIL073C	225951	222934	225884	222863	Potential_AUG_annotation_error	71	2.321928095
YIL072W	226599	228416	226594	228572	5	156	1.807354922
YIL071W-A	228547	229023					
YIL071C	229991	228657	230006	228452	15	205	
YIL070C	231069	230269	231102	230166	33	103	5.022367813
YIL069C	232366	231550	232424	231379	58	171	8.17990909
YIL068W-A	233010	233393					
YIL068C	235471	233054	235535	233045	64	9	
YIL066W-A	237363	237806					
YIL067C	237757	235721		235684		37	4.044394119
YIL066C	240705	238096					1.584962501
YIL065C	241772	241305	241823	241252	51	53	4.930737338
YIL064W	241940	242713	241939	242793	1	80	
YIL063C	243741	242758	243771	242742	30	16	
YIL062C	244459	243995	244488	243939	29	56	7.918863237
YIL061C	245556	244654	245572	244608	16	46	2.459431619
YIL060W	246389	246823	246519		Potential_AUG_annotation_error		
YIL058W	246911	247195					1
YIL059C	246912	246547					
YIL057C	248393	247899					0
YIL056W	249989	251911	249863	251971	126	60	4.672425342
YIL055C	253923	252040	254145	251932	222	108	3.857980995
YIL054W	254541	254858					0
YIL053W	255113	255865	255095	256025	18	160	9.21916852
YIL052C	257061	256224	257092	256195	31	29	10.18611424
YIL051C	258279	257842	258313	257749	34	93	9.469641817
YIL050W	258912	259769	258554	259894	358	125	3.584962501
YIL049W	260157	260918	260152	260989	5	71	3.321928095
YIL048W	261436	264891	261106	265017	330	126	3.64385619
YIL047C-A	265466	265098		265051		47	
YIL047C	267822	265114					
YIL046W-A	268308	268472					0
YIL046W	268650	270572	268556	270671	94	99	3.64385619
YIL045W	271160	272776	270900	272921	260	145	4.247927513
YIL044C	273845	272949	273891	272861	46	88	6.076815597
YIL043C	274925	274071	274937	273987	12	84	7.266786541
YIL042C	276291	275107	276299	274999	8	108	3.584962501
YIL041W	276524	277504	276501	277591	23	87	7.154818109
YIL040W	277722	278138	277713	278213	9	75	5.189824559
YIL039W	278425	279846	278383	279945	42	99	3.321928095
YIL038C	282651	280141	282870	280004	219	137	5.06608919
YIL037C	284998	283028					0
YIL036W	285665	287428	285607	287532	58	104	5.442943496
YIL035C	288907	287789	289019	287701	112	88	3.95419631
YIL034C	290088	289225	290103	289173	15	52	5.930737338
YIL033C	291668	290418	291763	290310	95	108	5.832890014
YIL032C	292316	291960					0
YIL031W	292632	295736					
YIL030W-A	295564	295902		296134		232	2.700439718
YIL029W-A	299734	300105					
YIL030C	300008	296049		295971		78	4.781359714
YIL029C	301255	300827	301361	300473	106	354	3.321928095
YIL028W	302098	302496	302073	302913	25	417	2.459431619
YIL027C	304102	303677	304161	303613	59	64	5.584962501
YIL026C	307927	304475	307955	304384	28	91	2.584962501
YIL025C	308573	308199					0
YIL024C	309169	308600		308496		104	
YIL023C	310424	309384	310631	309279	207	105	4.087462841
YIL022W	311163	312458	311052	312683	111	225	4.247927513
YIL021W	312903	313859	312839	313992	64	133	
YIL021C-A	313466	313197					
YIL020C-A	314049	313711					
YIL020C	314818	314033	314871	313934	53	99	
YIL019W	315091	316131	315063	316263	28	132	3.523561956
YIL018W	316766	317930	316740	318019	26	89	8.539158811
YIL017C	320963	318198	321022	318122	59	76	4.392317423
YIL016W	321452	321931	321434	321957	18	26	5.209453366
YIL015W	322340	324103	322283	324183	57	80	6.247927513
YIL014C-A	325524	325210	325605	324889	81	321	0
YIL014W	326101	327993	325951	327996	150	3	5.321928095
YIL013C	332440	328205					3.169925001
YIL012W	333009	333401					0
YIL011W	333724	334533	333691	334645	33	112	2.906890596
YIL010W	334879	335526	334851	335706	28	180	4.357552005
YIL009C-A	336209	335663	336246	335542	37	121	6.491853096
YIL009W	339341	341425		341632		207	2.584962501
YIL008W	342533	342832	342479	342958	54	126	6.312882955
YIL007C	343653	342991	343666	342853	13	138	4.044394119
YIL006W	344059	345180	344057	345211	2	31	2.321928095
YIL005W	345689	347794	345545	347983	144	189	5.087462841
YIL004C	348502	347943	348520	347801	18	142	5.375039431
YIL003W	349119	350000	349088	350090	31	90	3.169925001
YIL002W-A	350298	350507	350285	350579	13	72	
YIL002C	353428	350588					
YIL001W	353937	355478	353845	355532	92	54	2.321928095
YIR001C	356892	356140	356968	355917	76	223	3.700439718
YIR002C	360393	357412	360458	357302	65	110	4.807354922
YIR003W	360882	362921	360839	362993	43	72	4.614709844
YIR004W	363218	364516	363200	364626	18	110	4.392317423
YIR005W	364886	365332	364802	365777	84	445	3
YIR006C	369905	365463	369953	365361	48	102	4.044394119
YIR007W	370701	372995	370709		Potential_AUG_annotation_error		
YIR008C	374303	373074	374317	373032	14	42	
YIR009W	374522	374857	374472	375034	50	177	4.129283017
YIR010W	375428	377158	375359	377286	69	128	3.247927513
YIR011C	378243	377284	378252	377190	9	94	4
YIR012W	378483	379778	378472	380951	11	1173	5.686500527
YIR013C	380381	380016	380957	379842	576	174	3.169925001
YIR014W	381083	381811					2
YIR015W	381945	382379					2
YIR016W	382625	383422	382576	383500	49	78	5.62935662
YIR017W-A	383563	384162					
YIR017C	384116	383553		383428		125	
YIR018W	384606	385343	384584	385487	22	144	2.807354922
YIR018C-A	385698	385561					2.169925001
YIR019C	393672	389569	393610		Potential_AUG_annotation_error		2.169925001
YIR020C	394554	394252					1
YIR020W-A	394914	395156					0
YIR021W	397291	398382		398426		44	4.169925001
YIR020C-B	397946	397212					
YIR021W-A	398511	398723					
YIR022W	398730	399233		399335		102	5.285402219
YIR023W	399774	402686	399754	402722	20	36	
YIR023C-A	402703	402380					
YIR024C	403488	402838	403513	402784	25	54	3.857980995
YIR025W	403656	404762					3.700439718
YIR026C	405964	404870	405992	404800	28	70	5.22881869
YIR027C	407639	406257					0
YIR028W	408465	410372					1.584962501
YIR029W	410804	411835	410839	411908	Potential_AUG_annotation_error	73	3
YIR030C	412767	412033	412787	412004	20	29	3.392317423
YIR030W-A	412896	413279					
YIR031C	414676	413012	414751	412979	75	33	
YIR032C	415614	415027					0
YIR033W	416121	419462	416073	420750	48	1288	4.857980995
YIR034C	420733	419612	420769	419585	36	27	5.247927513
YIR035C	421787	421023	421828	420982	41	41	6.554588852
YIR036W-A	422632	423033					
YIR036C	422862	422071		422026		45	4
YIR037W	423125	423616	423079	423708	46	92	7.515699838
YIR038C	424510	423806	424536	423709	26	97	5.169925001
YIR039C	432107	430494	432138	430362	31	132	4.459431619
YIR040C	433717	433385					
YIR041W	433925	434299					
YIR042C	435980	435270	436034	435197	54	73	1.584962501
Q0010	3952	4338					
Q0017	4254	4415					
Q0032	11667	11957					0
Q0050	13818	16322					
Q0055	13818	18830					
Q0070	13818	23167		23846		679	
Q0045	13818	26701		26810		109	2.321928095
Q0060	13818	19996					
Q0065	13818	21935		22149		214	
Q0075	24156	25255					
Q0080	27666	27812	27645	28106	21	294	2.807354922
Q0085	28487	29266	27879	29494	608	228	3.169925001
Q0092	30874	31014					
Q0115	36540	40265					
Q0110	36540	38579					
Q0120	36540	42251					
Q0105	36540	43647		43654		7	3.807354922
Q0130	46723	46953	46675	47014	48	61	4.321928095
Q0140	48901	50097					
Q0142	51052	51228					
Q0143	51277	51429					1.584962501
Q0144	54109	54438					0
Q0160	61022	61729					0
Q0182	65770	66174					2
Q0250	73758	74513					
Q0255	74495	75984					1
Q0275	79213	80022	79147	80087	66	65	2.321928095
Q0297	85554	85709					0
YEL077W-A	630	1112					
YEL077C	4097	264					
YEL075W-A	4870	5481					
YEL076C	5114	4464					
YEL076C-A	5114	4185					
YEL075C	5713	5345					
YEL074W	6126	6464					0
YEL073C	7553	7230					0
YEL072W	13720	14415	13594	14586	126	171	4.044394119
YEL071W	16355	17845	16305	17945	50	100	7.573647187
YEL070W	19589	21097					
YEL069C	23231	21537					
YEL068C	25978	25646	26105	25505	127	141	4.129283017
YEL066W	26667	27206		27263		57	3.247927513
YEL067C	26776	26189					0
YEL065W	27657	29543	27525	29622	132	79	4.64385619
YEL064C	31239	29797	31260	29686	21	111	1.584962501
YEL063C	33466	31694	33504	31540	38	154	3.807354922
YEL062W	34407	36254	34077	36379	330	125	2.807354922
YEL061C	39537	36535	39555	36287	18	248	3
YEL060C	41953	40046	42209	39840	256	206	6.942514505
YEL059C-A	42624	42400	42750	42346	126	54	4.459431619
YEL059W	42652	42960					0
YEL058W	43252	44925	43220	45001	32	76	
YEL057C	45721	45020		44940		80	
YEL056W	47168	48373	47116	48615	52	242	
YEL055C	51539	48471	51567	48422	28	49	
YEL053W-A	52908	53255		53255		0	
YEL054C	53218	52721		52505		216	8.285402219
YEL053C	56102	53901	56150	53835	48	66	4.169925001
YEL052W	56571	58100	56483	58161	88	61	4.930737338
YEL051W	58378	59148	58336	59257	42	109	8.144658243
YEL050W-A	59549	59740					
YEL050C	60851	59670	60897	59540	46	130	
YEL049W	63728	64090					
YEL048C	65167	64709	65183	64153	16	556	3
YEL047C	66797	65385	66799	65293	2	92	4.807354922
YEL046C	68792	67629		67065		564	7.73470962
YEL045C	69265	68840	69205	67669	Potential_AUG_annotation_error	1171	
YEL044W	69757	70257	69655	70309	102	52	5.169925001
YEL043W	70478	73348	70470	73417	8	69	4.977279923
YEL042W	73771	75327	73621	75466	150	139	5.918863237
YEL041W	75944	77431					-1
YEL040W	78053	79456	78015	79552	38	96	9.214319121
YEL039C	79977	79636	80068	79554	91	82	6.62935662
YEL038W	80462	81145	80436	81200	26	55	6.672425342
YEL037C	82603	81407	82754	81263	151	144	6.483815777
YEL036C	84552	83050	84674	82993	122	57	5.129283017
YEL035C	85545	85045					0
YEL034W	85676	86149		86368		219	
YEL033W	86179	86598					
YEL034C-A	86215	85613		85613		0	
YEL032W	86937	89852	86884	89992	53	140	3.584962501
YEL032C-A	87201	87040					
YEL031W	90258	93905	90237	93995	21	90	4.930737338
YEL030W	94644	96578		96742		164	3.459431619
YEL030C-A	94897	94583					
YEL029C	97796	96858	97862	96769	66	89	5.658211483
YEL028W	98668	99129	98312	99182	356	53	3.247927513
YEL027W	100769	101251	100712	101499	57	248	8.920352855
YEL026W	101943	102323	101838	102395	105	72	8.659995892
YEL025C	106147	102581	106184	102340	37	241	5.044394119
YEL024W	107260	107907	107083	108314	177	407	5.714245518
YEL023C	110552	108504					1
YEL022W	111421	115800	111306	115879	115	79	4.95419631
YEL021W	116167	116970					0
YEL020W-A	117211	117474		117591		117	
YEL020C-B	117380	117183		117161		22	
YEL020C	120299	118617	120265	118524	Potential_AUG_annotation_error	93	2.459431619
YEL019C	121301	120498					1
YEL018W	121471	122310		122394		84	4.491853096
YEL018C-A	121988	121455		121455		0	
YEL017C-A	122929	122798	122959	122351	30	447	
YEL017W	123657	124670	123529	124761	128	91	
YEL016C	126218	124737	126383	124662	165	75	
YEL015W	126629	128284	126606	128340	23	56	
YEL014C	128608	128303		128243		60	
YEL013W	128825	130561		130561		0	4
YEL012W	131772	132551	131678	132658	94	107	4.491853096
YEL011W	133120	135234	133088	135304	32	70	6.17990909
YEL010W	136279	136629					
YEL009C-A	136778	136371					
YEL009C	139763	138918	140334	138846	571	72	8.645658432
YEL008W	140512	140892					
YEL008C-A	140818	140726					
YEL007W	141891	143891	141657	144036	234	145	5.044394119
YEL006W	144326	145333	144322	145516	4	183	4.129283017
YEL005C	146754	145906	146763	145834	9	72	3.906890596
YEL004W	146950	147978	146786	148038	164	60	3.523561956
YEL003W	148175	148598		148723		125	5.794415866
YEL002C	150013	148721	150066	148600	53	121	6.665335917
YEL001C	150977	150300	151002	150220	25	80	5.409390936
YER001W	153519	155807	153348	156098	171	291	5.906890596
YER002W	156802	157497	156757	157587	45	90	6.693486957
YER003C	159117	157735	159146	157679	29	56	5.409390936
YER004W	159579	160274	159424	160515	155	241	6.098032083
YER005W	160549	162441		162532		91	4
YER006W	162722	164284	162700	164347	22	63	
YER007W	164526	166082	164331	166306	195	224	5.832890014
YER006C-A	164660	164343		163868		475	
YER007C-A	166884	166236	166914	166071	30	165	6.303780748
YER008C	171817	167807	171881	167715	64	92	4.523561956
YER009W	172114	172491	172098	172656	16	165	8.278449458
YER010C	173337	172633	173432	172557	95	76	7.199672345
YER011W	175247	176011	175183	176167	64	156	5.14974712
YER012W	177834	178430	177787	178562	47	132	5.50779464
YER013W	178840	182277	178803	182354	37	77	2.459431619
YER014W	182599	184218	182565	184325	34	107	
YER015W	184540	186774		187027		253	3.321928095
YER014C-A	184699	183730					
YER016W	188276	189310	188233	189432	43	122	4.247927513
YER017C	191787	189502		189365		137	3.906890596
YER018C	192623	191958	192718	191854	95	104	3
YER019W	192796	194229	192684	194317	112	88	
YER019C-A	194538	194272	194599	194253	61	19	
YER020W	195167	196516	195061	196692	106	176	5.06608919
YER021W	196947	198518	196897	198596	50	78	6.451211112
YER022W	198811	200874	198781	200966	30	92	4.857980995
YER023W	201075	201935	201048	202005	27	70	6.820178962
YER023C-A	201733	201521		201216		305	
YER024W	202191	204962		205076		114	2
YER025W	205250	206833	205205	207095	45	262	6.159871337
YER026C	208473	207643	208540	207538	67	105	5.459431619
YER027C	210231	208978	210339	208958	108	20	6.366322214
YER028C	211875	210691	212074	210643	199	48	4.584962501
YER029C	213176	212586	213229	212496	53	90	4.357552005
YER030W	213436	213897	213396	214023	40	126	7.011227255
YER031C	214746	214075	214770	213959	24	116	7.383704292
YER032W	215062	217692	215020	217716	42	24	3.247927513
YER033C	221286	218056	221319	217912	33	144	2
YER034W	221845	222402	221802	222600	43	198	3.584962501
YER035W	222638	223075	222431	223213	207	138	4.781359714
YER036C	225198	223366	225221	223282	23	84	7.611024797
YER037W	225888	226853	225878	227074	10	221	
YER038C	228251	226857	228245	226280	Potential_AUG_annotation_error	577	
YER038W-A	228450	228830					
YER039C	229204	228455					
YER039C-A	229480	229262					
YER040W	229794	231986	229723	232242	71	256	2.321928095
YER041W	232460	234739	232410	234903	50	164	3.087462841
YER042W	234936	235490	234848	235654	88	164	6.383704292
YER043C	237118	235769	237135	235576	17	193	6.46760555
YER044C	238015	237569	238086	237468	71	101	6.475733431
YER044C-A	239773	238459					-1
YER045C	241500	240031	241592	239915	92	116	3.906890596
YER046W	243179	243610	243077	243684	102	74	
YER046W-A	243699	244028					
YER047C	246502	243809					
YER048C	248156	246981	248222	246879	66	102	7.573647187
YER048W-A	250717	251001	250648	251333	69	332	5.392317423
YER049W	251727	253661	251629	253747	98	86	5.569855608
YER050C	254386	253970	254418	253885	32	85	6.451211112
YER051W	254655	256133	254625	256349	30	216	3.754887502
YER052C	257957	256374	258037	256284	80	90	6.787902559
YER053C	259638	258736	259737	258616	99	120	6.965784285
YER053C-A	261045	260932	261125	260927	80	5	4.614709844
YER054C	263697	262051	263926	261995	229	56	3.807354922
YER055C	265784	264891	265873	264781	89	110	7.933690655
YER056C	268112	266511	268200	266423	88	88	7.459431619
YER056C-A	270183	269421	270202	269363	19	58	9.027905997
YER057C	271124	270735	271153	270675	29	60	6.794415866
YER058W	271766	272089	271748	272176	18	87	4.209453366
YER059W	272622	273884	272488	273956	134	72	5.129283017
YER060W	274565	276151	274419	276272	146	121	4.169925001
YER060W-A	276570	278162					3.700439718
YER061C	279624	278296	279666	278267	42	29	4.807354922
YER062C	280680	279928	280878	279781	198	147	8.4325419
YER063W	281708	282364	281642	282512	66	148	4.807354922
YER064C	284220	282703	284313	282471	93	232	4.781359714
YER065C	286912	285239	287234	285146	322	93	2.807354922
YER066W	290240	290797	290125	290931	115	134	2.906890596
YER067W	292064	292549		292641		92	
YER066C-A	292201	291701					0
YER067C-A	292561	292238					
YER068W	293048	294811	292989	294918	59	107	4.977279923
YER069W	295408	297999		298127		128	3.087462841
YER068C-A	295730	295299					0
YER070W	298948	301614	298909	301819	39	205	5.539158811
YER071C	302325	301945	302342	301745	17	200	5.62935662
YER072W	302804	303193	302762	303337	42	144	10.18053081
YER073W	304027	305589	303852	305723	175	134	6.554588852
YER074W	306319	307192	306291	307296	28	104	9.674192268
YER074W-A	307649	308119	307620	308179	29	60	7.577428828
YER075C	311195	308409		308120		289	1.584962501
YER076W-A	313386	313733		313927		194	2.321928095
YER076C	313494	312586		312342		244	0
YER077C	316596	314530	316670	314436	74	94	3.95419631
YER078C	318338	316803	318392	316734	54	69	4.044394119
YER078W-A	318642	318806		319292		486	0
YER079W	318916	319548	318853	319798	63	250	6.707359132
YER080W	319959	321842		321924		82	4.977279923
YER079C-A	320236	319898		319898		0	
YER081W	322682	324091	322481	324270	201	179	5.087462841
YER082C	325932	324268	326006	324199	74	69	4.64385619
YER083C	327027	326170	327046	326145	19	25	6.820178962
YER084W	327061	327447					0
YER084W-A	327594	328106					
YER085C	328136	327615					
YER086W	328473	330203	328410	330344	63	141	5.918863237
YER087W	330572	332302	330520	332372	52	70	
YER087C-A	332364	331813					
YER087C-B	332826	332578	332860	332391	34	187	7.573647187
YER088C	335184	333172	335645	333053	461	119	6.21916852
YER088W-B	335923	336069		337476		1407	
YER088C-A	336015	335692					1.584962501
YER089C	337336	335942	337640	335887	304	55	
YER090W	337945	339468	337894	339573	51	105	5.475733431
YER090C-A	338407	338318					
YER091C	342163	339860	342217	339660	54	200	8.14974712
YER091C-A	342607	342386					0
YER092W	342851	343228					
YER093C	347608	343316	347640	343281	32	35	
YER093C-A	348396	347908	348480	347787	84	121	3
YER094C	349342	348725	349556	348595	214	130	8.162391329
YER095W	349976	351178	349921	351406	55	228	3.584962501
YER096W	351694	353232					0
YER097W	355136	355465					
YER098W	355462	357726		357822		96	3.700439718
YER099C	359057	358101	359328	358048	271	53	6.864186145
YER100W	359558	360310	359293	360404	265	94	5.64385619
YER101C	361790	360498		360498		0	3.459431619
YER102W	363096	363698	362728	363763	368	65	10.64925618
YER103W	364585	366513	364530	366642	55	129	8.292321633
YER104W	366798	367424		367806		382	2.321928095
YER105C	372009	367834	372047	367614	38	220	4.700439718
YER106W	372322	373230					2.169925001
YER107W-A	374390	374710		374710		0	5.266786541
YER107C	374541	373444	374718	373331	177	113	4.857980995
YER109C	377610	375211		374894		317	2
YER110C	382099	378758	382135	378677	36	81	5.129283017
YER111C	385872	382591		382504		87	2.584962501
YER112W	387228	387791	387145	387881	83	90	4.930737338
YER113C	390048	387928					2.321928095
YER114C	393708	390586	394030	390373	322	213	3
YER115C	394863	394288	395179	394196	316	92	4.285402219
YER116C	396168	395344	396269	394918	101	426	2.584962501
YER117W	396765	397649	396734	397714	31	65	8.914385132
YER118C	399051	397948	399247	397793	196	155	5.209453366
YER119C	400838	399492	400974	399400	136	92	3.807354922
YER120W	401131	401865	401104	401964	27	99	7.73809226
YER119C-A	401234	400863					
YER121W	402371	402715	402253	402824	118	109	3.087462841
YER122C	404348	402867	404430	402745	82	122	4.64385619
YER123W	404809	406383	404619	406805	190	422	3.523561956
YER124C	409059	407338	409108	407049	49	289	6.159871337
YER125W	410185	412614	409677	412991	508	377	4.554588852
YER126C	414175	413390	414201	413267	26	123	4.247927513
YER127W	414477	415550	414457	415638	20	88	4.754887502
YER128W	415855	416466	415837	416592	18	126	3.087462841
YER129W	417277	420705	416751	420954	526	249	2.584962501
YER130C	422442	421111	422528	421019	86	92	5.658211483
YER131W	423948	424307	423586	424452	362	145	9.904634622
YER132C	430445	425184	430508	425062	63	122	3.247927513
YER133W	432491	433954	432431	434183	60	229	6.942514505
YER133W-A	437187	437528					
YER134C	437799	437263	437836	437043	37	220	
YER135C	438340	437948					0
YER136W	439612	440967	439532	441293	80	326	6.562242424
YER137W-A	441571	441876					
YER137C	441815	441369		441218		151	3.321928095
YER138W-A	449470	449574	449538	449591	Potential_AUG_annotation_error	17	
YER139C	451238	450558	451328	450437	90	121	3.459431619
YER140W	451560	453230	451512	454295	48	1065	3
YER141W	453454	454914	453242	455952	212	1038	4.832890014
YER142C	456031	455141					3.247927513
YER143W	456314	457600	456248	457749	66	149	5.044394119
YER144C	460218	457801		457714		87	4
YER145C	461735	460521	461764	460438	29	83	5.357552005
YER146W	462580	462861		462946		85	
YER145C-A	462818	462381					0
YER147C	464837	462963	464879	462912	42	51	3.247927513
YER148W	465298	466020		466210		190	7.194756854
YER147C-A	465608	465198		465118		80	
YER148W-A	466180	466758					
YER149C	467465	466203	467523	465938	58	265	
YER150W	468365	468811	468344	468976	21	165	8.37721053
YER151C	472419	469681	472480	469612	61	69	5.906890596
YER152W-A	473480	474046					
YER152C	473983	472652		472620		32	7.558420713
YER153C	474800	474036					
YER154W	475015	476223	474990	476286	25	63	6.21916852
YER155C	482843	476340	482902	476209	59	131	5.727920455
YER156C	484336	483320	484343	483223	7	97	5.658211483
YER157W	484783	487188	484794	487262	Potential_AUG_annotation_error	74	3.64385619
YER158C	490573	488852	490765	488729	192	123	2.700439718
YER158W-A	491482	491697	491388	492006	94	309	
YER159C	491953	491525	492121	491404	168	121	
YER161C	500343	499342	500368	499096	25	246	3.584962501
YER162C	502889	500625	502914	500525	25	100	3
YER163C	503777	503079	503813	503061	36	18	6.348728154
YER164W	505387	509793	505359	509918	28	125	4.64385619
YER165W	510368	512101	510235	512253	133	152	8.113742166
YER166W	512739	517454		517536		82	4.614709844
YER165C-A	512978	512622					0
YER167W	518211	520766	518158	520792	53	26	6.577428828
YER168C	522664	521024	522710	520988	46	36	5.339850003
YER169W	523364	525754	523205	525965	159	211	3.523561956
YER170W	525969	526646		526991		345	4.247927513
YER171W	527077	529413	526947	529532	130	119	5.50779464
YER172C	536016	529525	536083	529432	67	93	4.247927513
YER173W	536295	538274		539575		1301	2.807354922
YER172C-A	536650	536270		536270		0	
YER174C	539163	538429		538344		85	4.209453366
YER175C	540358	539459	540446	539321	88	138	3.584962501
YER175W-A	540645	540809	540452	541414	193	605	3.247927513
YER176W	541685	545050	541626	545144	59	94	4.392317423
YER177W	545606	546409	545566	546586	40	177	8.649256178
YER178W	546812	548074	546794	548208	18	134	7.888743249
YER179W	548416	549512					1.584962501
YER180C	550522	549719	550632	549676	110	43	3.700439718
YER180C-A	551117	550860					1.584962501
YER181C	551791	551468					0
YER182W	552520	553254	552496	553349	24	95	
YER183C	553964	553329	553981	553274	17	55	
YER184C	558675	556291		555808		483	2
YER185W	559449	560360	559427	560388	22	28	1.584962501
YER186C	562620	561700	562676	561576	56	124	4.977279923
YER187W	566225	566650		566791		141	2
YER188W	568035	568754					1.584962501
YER188C-A	569902	569603					
YER189W	571150	571518					
YER190W	571475	576520					
YER190C-A	575374	574799					
YER190C-B	576157	575675					
YFL068W	53	535					
YFL067W	836	1363					
YFL066C	2615	1437					
YFL065C	3338	3030					
YFL064C	3846	3322					
YFL063W	5066	5521					
YFL062W	6426	7565					
YFL061W	9545	10222					
YFL060C	10969	10301					
YFL059W	11363	12259					
YFL058W	12929	13951					
YFL057C	14763	14305					
YFL056C	15431	14793		14747		46	
YFL055W	17004	18680					1
YFL054C	22787	20847					1.584962501
YFL053W	23423	25198					1.807354922
YFL052W	28232	29629					1
YFL051C	30540	30058					0
YFL050C	35848	33272	35752	32999	Potential_AUG_annotation_error	273	2.807354922
YFL049W	36803	38674	36759	38817	44	143	2.906890596
YFL048C	40180	38843	40197	38750	17	93	6.276124405
YFL047W	40421	42565		42625		60	2.321928095
YFL046W	42815	43438	42786	43588	29	150	6.17990909
YFL045C	44392	43628	44479	43495	87	133	8.247927513
YFL044C	45560	44655	45581	44464	21	191	4.357552005
YFL042C	47744	45720	47778	45681	34	39	4.754887502
YFL041W-A	48734	48925	48727	48970	7	45	2.700439718
YFL041W	49139	51007	49126	51180	13	173	4.614709844
YFL040W	51350	52972		53140		168	0
YFL039C	54695	53260	54823	53178	128	82	9.792790294
YFL038C	55985	55365	56037	55270	52	95	6.592457037
YFL037W	56335	57708	56269	57934	66	226	7.647458426
YFL036W	58781	62836	58591	62897	190	61	3.392317423
YFL034C-B	63992	63015	64037	62861	45	154	3.95419631
YFL034C-A	64931	64242	64962	64182	31	60	7.909893084
YFL034W	65475	68696	65285	68816	190	120	2.807354922
YFL033C	74425	69113	74628	68900	203	213	2.807354922
YFL032W	74870	75190	74977	75879	Potential_AUG_annotation_error	689	
YFL031W	75177	76145	75109	76561	68	416	
YFL031C-A	76113	76012		75945		67	
YFL030W	76829	77986	76704	78073	125	87	
YFL029C	79159	78053	79209	78005	50	48	
YFL028C	80211	79342	80238	79286	27	56	5.918863237
YFL027C	81910	80417	82036	80368	126	49	4.357552005
YFL026W	82578	83873	82547	84045	31	172	5.442943496
YFL025C	87232	84143	87275	83940	43	203	3.321928095
YFL024C	90343	87845	90775	87701	432	144	4.169925001
YFL023W	90984	93374	90910	93471	74	97	3.64385619
YFL022C	95008	93497	95084	93419	76	78	7.13442632
YFL021W	95964	97496		97642		146	3.906890596
YFL021C-A	96613	95759					0
YFL020C	99593	99225					0
YFL019C	100599	100246					1
YFL018C	103121	101622	103214	101563	93	59	7.087462841
YFL017W-A	103693	103926	103661	103997	32	71	
YFL017C	104456	103977	104478	103798	22	179	
YFL016C	106230	104695	106247	104617	17	78	6.339850003
YFL015W-A	106409	106726					
YFL015C	106957	106463					
YFL014W	107250	107579	107211	107753	39	174	5.129283017
YFL013W-A	107793	108596					
YFL012W-A	109804	110178					0
YFL013C	109924	107846		107811		35	
YFL012W	110641	111087					-1
YFL011W	112339	113979					0
YFL010W-A	114984	115268					
YFL010C	115737	115102	115752	114963	15	139	
YFL009W	116139	118478	115960	118565	179	87	4.584962501
YFL008W	119424	123101	119359	123196	65	95	4.426264755
YFL007W	123474	129905	123344	129966	130	61	4.930737338
YFL005W	130329	130976	130167	131194	162	218	6.651051691
YFL004W	131805	134291	131661	134367	144	76	7.174925683
YFL003C	137152	134516		133419		1097	1
YFL002C	146929	145109	146942	145003	13	106	4.554588852
YFL001W	147126	148454	147110	148479	16	25	4.614709844
YFR001W	149105	149719	149062	149795	43	76	5.189824559
YFR002W	150011	152530	149995	152613	16	83	5.754887502
YFR003C	153119	152652	153161	152539	42	113	6.312882955
YFR004W	153388	154308	153351	154367	37	59	7.335390355
YFR005C	155868	154522	155915	154343	47	179	4.357552005
