#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
YFR021W_CDS	GENE_YFR021W_CDS	YFR021W_id001	protein_coding	0	7	1	86	0	0	0	0	23	0	0	0	1	0	0	0	0	0	0	0	0	7	63
YFR021W_CDS	GENE_YFR021W_CDS	YFR021W_id002	protein_coding	0	7	1	86	0	0	0	0	23	0	0	0	1	0	0	0	0	0	0	0	0	7	63
YFR022W_CDS	GENE_YFR022W_CDS	YFR022W_id001	protein_coding	0	1	1	87	0	0	0	0	33	0	0	0	1	0	0	0	0	0	0	0	0	1	54
YFR022W_CDS	GENE_YFR022W_CDS	YFR022W_id003	protein_coding	0	1	1	87	0	0	0	0	33	0	0	0	1	0	0	0	0	0	0	0	0	1	54
YFR023W_CDS	GENE_YFR023W_CDS	YFR023W_mRNA	protein_coding	0	3	1	65	0	0	0	0	38	0	0	0	1	0	0	0	0	0	0	0	0	3	27
YFR024C-A_CDS	GENE_YFR024C-A_CDS	YFR024C-A_id001	protein_coding	0	9	0	56	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	9	37
YFR024C-A_CDS	GENE_YFR024C-A_CDS	YFR024C-A_id003	protein_coding	0	9	0	56	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	9	37
YFR025C_CDS	GENE_YFR025C_CDS	YFR025C_id001	protein_coding	0	4	4	59	0	0	0	0	29	0	0	0	4	0	0	0	0	0	0	0	0	4	30
YFR025C_CDS	GENE_YFR025C_CDS	YFR025C_id003	protein_coding	0	4	4	59	0	0	0	0	29	0	0	0	4	0	0	0	0	0	0	0	0	4	30
YFR026C_CDS	GENE_YFR026C_CDS	YFR026C_id001	protein_coding	1	0	2	61	0	0	0	0	34	0	0	0	2	0	0	0	0	1	0	0	0	0	27
YFR026C_CDS	GENE_YFR026C_CDS	YFR026C_id002	protein_coding	1	0	2	61	0	0	0	0	34	0	0	0	2	0	0	0	0	1	0	0	0	0	27
YFR027W_CDS	GENE_YFR027W_CDS	YFR027W_id001	protein_coding	0	4	0	66	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	4	39
YFR027W_CDS	GENE_YFR027W_CDS	YFR027W_id002	protein_coding	0	4	0	66	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	4	39
YFR028C_CDS	GENE_YFR028C_CDS	YFR028C_id001	protein_coding	0	5	0	68	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	5	31
YFR028C_CDS	GENE_YFR028C_CDS	YFR028C_id003	protein_coding	0	5	0	68	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	5	31
YFR029W_CDS	GENE_YFR029W_CDS	YFR029W_id001	protein_coding	0	4	2	59	0	0	0	0	32	0	0	0	2	0	0	0	0	0	0	0	0	4	27
YFR029W_CDS	GENE_YFR029W_CDS	YFR029W_id002	protein_coding	0	4	2	59	0	0	0	0	32	0	0	0	2	0	0	0	0	0	0	0	0	4	27
YFR030W_CDS	GENE_YFR030W_CDS	YFR030W_id001	protein_coding	0	11	3	56	0	0	0	0	29	0	0	0	3	0	0	0	0	0	0	0	0	11	27
YFR030W_CDS	GENE_YFR030W_CDS	YFR030W_id002	protein_coding	0	11	3	56	0	0	0	0	29	0	0	0	3	0	0	0	0	0	0	0	0	11	27
YFR031C-A_CDS	GENE_YFR031C-A_CDS	YFR031C-A_id001	protein_coding	0	1	0	70	0	0	0	0	30	0	0	1	0	0	0	0	0	0	0	0	0	1	39
YFR031C-A_CDS	GENE_YFR031C-A_CDS	YFR031C-A_id002	protein_coding	0	1	0	70	0	0	0	0	30	0	0	1	0	0	0	0	0	0	0	0	0	1	39
YFR031C_CDS	GENE_YFR031C_CDS	YFR031C_mRNA	protein_coding	0	10	6	75	0	0	0	0	30	0	0	0	6	0	0	0	0	0	0	0	0	10	45
YFR032C-A_CDS	GENE_YFR032C-A_CDS	YFR032C-A_id001	protein_coding	0	1	0	65	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	1	30
YFR032C-A_CDS	GENE_YFR032C-A_CDS	YFR032C-A_id002	protein_coding	0	1	0	65	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	1	30
YFR032C-B_CDS	GENE_YFR032C-B_CDS	YFR032C-B_mRNA	protein_coding	0	0	0	69	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	32
YFR032C_CDS	GENE_YFR032C_CDS	YFR032C_id001	protein_coding	0	7	4	60	0	0	0	0	30	0	0	0	4	0	0	0	0	0	0	0	0	7	30
YFR032C_CDS	GENE_YFR032C_CDS	YFR032C_id002	protein_coding	0	7	4	60	0	0	0	0	30	0	0	0	4	0	0	0	0	0	0	0	0	7	30
YFR033C_CDS	GENE_YFR033C_CDS	YFR033C_id001	protein_coding	0	1	2	66	1	0	0	0	41	0	0	0	1	0	0	0	0	0	0	0	0	1	25
YFR033C_CDS	GENE_YFR033C_CDS	YFR033C_id003	protein_coding	0	1	2	66	1	0	0	0	41	0	0	0	1	0	0	0	0	0	0	0	0	1	25
YFR034C_CDS	GENE_YFR034C_CDS	YFR034C_id001	protein_coding	0	0	2	74	0	0	0	0	44	0	0	0	2	0	0	0	0	0	0	0	0	0	30
YFR034W-A_CDS	GENE_YFR034W-A_CDS	YFR034W-A_id001	protein_coding	0	1	0	70	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	1	40
YFR034W-A_CDS	GENE_YFR034W-A_CDS	YFR034W-A_id003	protein_coding	0	1	0	70	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	1	40
YFR035C_CDS	GENE_YFR035C_CDS	YFR035C_mRNA	protein_coding	0	1	0	71	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	1	31
YFR036W-A_CDS	GENE_YFR036W-A_CDS	YFR036W-A_mRNA	protein_coding	0	0	3	59	0	0	0	0	25	0	0	0	3	0	0	0	0	0	0	0	0	0	34
YFR036W_CDS	GENE_YFR036W_CDS	YFR036W_id001	protein_coding	0	0	0	66	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	39
YFR036W_CDS	GENE_YFR036W_CDS	YFR036W_id007	protein_coding	0	0	0	66	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	39
YFR037C_CDS	GENE_YFR037C_CDS	YFR037C_id001	protein_coding	0	9	1	55	0	0	0	0	31	0	0	0	1	0	0	0	0	0	0	0	0	9	24
YFR037C_CDS	GENE_YFR037C_CDS	YFR037C_id003	protein_coding	0	9	1	55	0	0	0	0	31	0	0	0	1	0	0	0	0	0	0	0	0	9	24
YFR038W_CDS	GENE_YFR038W_CDS	YFR038W_id001	protein_coding	0	12	3	47	0	0	0	0	19	0	0	0	3	0	0	0	0	0	0	0	0	12	28
YFR038W_CDS	GENE_YFR038W_CDS	YFR038W_id002	protein_coding	0	12	3	47	0	0	0	0	19	0	0	0	3	0	0	0	0	0	0	0	0	12	28
YFR039C_CDS	GENE_YFR039C_CDS	YFR039C_id001	protein_coding	0	0	2	47	0	0	0	0	27	0	0	0	2	0	0	0	0	0	0	0	0	0	20
YFR039C_CDS	GENE_YFR039C_CDS	YFR039C_id003	protein_coding	0	0	2	47	0	0	0	0	27	0	0	0	2	0	0	0	0	0	0	0	0	0	20
YFR040W_CDS	GENE_YFR040W_CDS	YFR040W_id001	protein_coding	0	10	3	46	0	0	0	0	23	0	0	0	3	0	0	0	0	0	0	0	0	10	23
YFR041C_CDS	GENE_YFR041C_CDS	YFR041C_id001	protein_coding	0	1	1	44	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	1	24
YFR041C_CDS	GENE_YFR041C_CDS	YFR041C_id003	protein_coding	0	1	1	44	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	1	24
YFR042W_CDS	GENE_YFR042W_CDS	YFR042W_id001	protein_coding	0	1	2	50	0	0	0	0	30	0	0	0	2	0	0	0	0	0	0	0	0	1	20
YFR042W_CDS	GENE_YFR042W_CDS	YFR042W_id005	protein_coding	0	1	2	50	0	0	0	0	30	0	0	0	2	0	0	0	0	0	0	0	0	1	20
YFR043C_CDS	GENE_YFR043C_CDS	YFR043C_id001	protein_coding	0	1	2	51	0	0	0	0	20	0	0	0	2	0	0	0	0	0	0	0	0	1	31
YFR043C_CDS	GENE_YFR043C_CDS	YFR043C_id002	protein_coding	0	1	2	51	0	0	0	0	20	0	0	0	2	0	0	0	0	0	0	0	0	1	31
YFR044C_CDS	GENE_YFR044C_CDS	YFR044C_id001	protein_coding	0	8	1	57	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	8	37
YFR044C_CDS	GENE_YFR044C_CDS	YFR044C_id007	protein_coding	0	8	1	57	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	8	37
YFR045W_CDS	GENE_YFR045W_CDS	YFR045W_id001	protein_coding	0	2	0	70	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	2	24
YFR045W_CDS	GENE_YFR045W_CDS	YFR045W_id005	protein_coding	0	2	0	70	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	2	24
YFR046C_CDS	GENE_YFR046C_CDS	YFR046C_id001	protein_coding	0	4	7	65	0	0	0	0	23	0	0	0	7	0	0	0	0	0	0	0	0	4	42
YFR046C_CDS	GENE_YFR046C_CDS	YFR046C_id002	protein_coding	0	4	7	65	0	0	0	0	23	0	0	0	7	0	0	0	0	0	0	0	0	4	42
YFR047C_CDS	GENE_YFR047C_CDS	YFR047C_id001	protein_coding	0	3	0	72	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	3	40
YFR047C_CDS	GENE_YFR047C_CDS	YFR047C_id002	protein_coding	0	3	0	72	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	3	40
YFR048W_CDS	GENE_YFR048W_CDS	YFR048W_id001	protein_coding	0	11	4	66	0	0	0	0	29	0	0	0	4	0	0	0	0	0	0	0	0	11	37
YFR048W_CDS	GENE_YFR048W_CDS	YFR048W_id002	protein_coding	0	11	4	66	0	0	0	0	29	0	0	0	4	0	0	0	0	0	0	0	0	11	37
YFR049W_CDS	GENE_YFR049W_CDS	YFR049W_id001	protein_coding	0	4	1	70	0	0	0	0	26	0	0	0	1	0	0	0	0	0	0	0	0	4	44
YFR049W_CDS	GENE_YFR049W_CDS	YFR049W_id003	protein_coding	0	4	1	70	0	0	0	0	26	0	0	0	1	0	0	0	0	0	0	0	0	4	44
YFR050C_CDS	GENE_YFR050C_CDS	YFR050C_id001	protein_coding	0	0	1	80	0	0	0	0	43	0	0	0	1	0	0	0	0	0	0	0	0	0	37
YFR050C_CDS	GENE_YFR050C_CDS	YFR050C_id002	protein_coding	0	0	1	80	0	0	0	0	43	0	0	0	1	0	0	0	0	0	0	0	0	0	37
YFR051C_CDS	GENE_YFR051C_CDS	YFR051C_id001	protein_coding	0	8	0	85	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	8	45
YFR051C_CDS	GENE_YFR051C_CDS	YFR051C_id002	protein_coding	0	8	0	85	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	8	45
YFR052C-A_CDS	GENE_YFR052C-A_CDS	YFR052C-A_id001	protein_coding	1	0	3	85	0	0	0	0	27	1	0	0	3	0	0	0	0	0	0	0	0	0	58
YFR052C-A_CDS	GENE_YFR052C-A_CDS	YFR052C-A_id013	protein_coding	1	0	3	85	0	0	0	0	27	1	0	0	3	0	0	0	0	0	0	0	0	0	58
YFR052W_CDS	GENE_YFR052W_CDS	YFR052W_id001	protein_coding	0	2	0	87	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	2	32
YFR052W_CDS	GENE_YFR052W_CDS	YFR052W_id002	protein_coding	0	2	0	87	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	2	32
YFR053C_CDS	GENE_YFR053C_CDS	YFR053C_id001	protein_coding	0	13	3	91	0	0	0	0	29	0	0	0	3	0	0	0	0	0	0	0	0	13	62
YFR053C_CDS	GENE_YFR053C_CDS	YFR053C_id030	protein_coding	0	13	3	91	0	0	0	0	29	0	0	0	3	0	0	0	0	0	0	0	0	13	62
YFR054C_CDS	GENE_YFR054C_CDS	YFR054C_id001	protein_coding	0	2	5	112	0	0	0	0	62	0	0	0	5	0	0	0	0	0	0	0	0	2	50
YFR055W_CDS	GENE_YFR055W_CDS	YFR055W_id001	protein_coding	0	4	0	73	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	4	52
YFR055W_CDS	GENE_YFR055W_CDS	YFR055W_id002	protein_coding	0	4	0	73	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	4	52
YFR056C_CDS	GENE_YFR056C_CDS	YFR056C_mRNA	protein_coding	0	0	1	79	0	0	0	0	54	0	0	0	1	0	0	0	0	0	0	0	0	0	25
YFR057W_CDS	GENE_YFR057W_CDS	YFR057W_mRNA	protein_coding	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
YGL001C_CDS	GENE_YGL001C_CDS	YGL001C_id001	protein_coding	0	3	0	32	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	3	26
YGL001C_CDS	GENE_YGL001C_CDS	YGL001C_id003	protein_coding	0	3	0	32	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	3	26
YGL002W_CDS	GENE_YGL002W_CDS	YGL002W_id001	protein_coding	0	3	0	31	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	3	6
YGL002W_CDS	GENE_YGL002W_CDS	YGL002W_id002	protein_coding	0	3	0	31	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	3	6
YGL003C_CDS	GENE_YGL003C_CDS	YGL003C_id001	protein_coding	0	0	0	37	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	26
YGL003C_CDS	GENE_YGL003C_CDS	YGL003C_id004	protein_coding	0	0	0	37	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	26
YGL004C_CDS	GENE_YGL004C_CDS	YGL004C_id001	protein_coding	0	0	2	25	0	0	0	0	13	0	0	0	2	0	0	0	0	0	0	0	0	0	12
YGL004C_CDS	GENE_YGL004C_CDS	YGL004C_id002	protein_coding	0	0	2	25	0	0	0	0	13	0	0	0	2	0	0	0	0	0	0	0	0	0	12
YGL005C_CDS	GENE_YGL005C_CDS	YGL005C_id001	protein_coding	0	1	3	23	0	0	0	0	18	0	0	0	3	0	0	0	0	0	0	0	0	1	5
YGL005C_CDS	GENE_YGL005C_CDS	YGL005C_id005	protein_coding	0	1	3	23	0	0	0	0	18	0	0	0	3	0	0	0	0	0	0	0	0	1	5
YGL006W-A_CDS	GENE_YGL006W-A_CDS	YGL006W-A_mRNA	protein_coding	1	0	0	30	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	18
YGL006W_CDS	GENE_YGL006W_CDS	YGL006W_id001	protein_coding	0	3	5	23	0	0	0	0	6	0	0	0	5	0	0	0	0	0	0	0	0	3	17
YGL007C-A_CDS	GENE_YGL007C-A_CDS	YGL007C-A_id001	protein_coding	0	2	0	50	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	2	14
YGL007C-A_CDS	GENE_YGL007C-A_CDS	YGL007C-A_id002	protein_coding	0	2	0	50	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	2	14
YGL007W_CDS	GENE_YGL007W_CDS	YGL007W_id001	protein_coding	0	0	0	54	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	38
YGL007W_CDS	GENE_YGL007W_CDS	YGL007W_id002	protein_coding	0	0	0	54	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	38
YGL008C_CDS	GENE_YGL008C_CDS	YGL008C_id001	protein_coding	0	14	5	38	0	0	0	0	22	0	0	0	5	0	0	0	0	0	0	0	0	14	16
YGL008C_CDS	GENE_YGL008C_CDS	YGL008C_id002	protein_coding	0	14	5	38	0	0	0	0	22	0	0	0	5	0	0	0	0	0	0	0	0	14	16
YGL009C_CDS	GENE_YGL009C_CDS	YGL009C_id001	protein_coding	0	1	2	47	0	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	0	1	37
YGL009C_CDS	GENE_YGL009C_CDS	YGL009C_id003	protein_coding	0	1	2	47	0	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	0	1	37
YGL010W_CDS	GENE_YGL010W_CDS	YGL010W_id001	protein_coding	0	3	0	40	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	3	7
YGL010W_CDS	GENE_YGL010W_CDS	YGL010W_id002	protein_coding	0	3	0	40	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	3	7
YGL011C_CDS	GENE_YGL011C_CDS	YGL011C_id001	protein_coding	0	0	0	30	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	24
YGL011C_CDS	GENE_YGL011C_CDS	YGL011C_id003	protein_coding	0	0	0	30	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	24
YGL012W_CDS	GENE_YGL012W_CDS	YGL012W_id001	protein_coding	0	1	1	18	0	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	0	1	4
YGL012W_CDS	GENE_YGL012W_CDS	YGL012W_id002	protein_coding	0	1	1	18	0	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	0	1	4
YGL013C_CDS	GENE_YGL013C_CDS	YGL013C_id001	protein_coding	0	0	1	30	1	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	11
YGL014C-A_CDS	GENE_YGL014C-A_CDS	YGL014C-A_mRNA	protein_coding	0	0	2	22	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	14
YGL014W_CDS	GENE_YGL014W_CDS	YGL014W_id001	protein_coding	0	8	6	13	0	1	0	1	4	0	0	0	4	0	0	0	0	0	0	0	0	8	9
YGL014W_CDS	GENE_YGL014W_CDS	YGL014W_id002	protein_coding	0	8	6	13	0	1	0	1	4	0	0	0	4	0	0	0	0	0	0	0	0	8	9
YGL015C_CDS	GENE_YGL015C_CDS	YGL015C_id001	protein_coding	0	0	0	32	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	18
YGL015C_CDS	GENE_YGL015C_CDS	YGL015C_id002	protein_coding	0	0	0	32	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	18
YGL016W_CDS	GENE_YGL016W_CDS	YGL016W_id001	protein_coding	0	3	1	35	0	0	0	0	19	0	0	0	1	0	0	0	0	0	0	0	0	3	16
YGL017W_CDS	GENE_YGL017W_CDS	YGL017W_id001	protein_coding	0	4	4	23	0	0	0	0	10	0	0	0	4	0	0	0	0	0	0	0	0	4	13
YGL017W_CDS	GENE_YGL017W_CDS	YGL017W_id003	protein_coding	0	4	4	23	0	0	0	0	10	0	0	0	4	0	0	0	0	0	0	0	0	4	13
YGL018C_CDS	GENE_YGL018C_CDS	YGL018C_id001	protein_coding	0	0	1	26	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	15
YGL018C_CDS	GENE_YGL018C_CDS	YGL018C_id003	protein_coding	0	0	1	26	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	15
YGL019W_CDS	GENE_YGL019W_CDS	YGL019W_id001	protein_coding	0	2	0	25	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	2	10
YGL019W_CDS	GENE_YGL019W_CDS	YGL019W_id002	protein_coding	0	2	0	25	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	2	10
YGL020C_CDS	GENE_YGL020C_CDS	YGL020C_id001	protein_coding	0	1	0	26	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	16
YGL020C_CDS	GENE_YGL020C_CDS	YGL020C_id002	protein_coding	0	1	0	26	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	16
YGL021W_CDS	GENE_YGL021W_CDS	YGL021W_mRNA	protein_coding	0	5	2	35	0	0	0	0	16	0	0	0	2	0	0	0	0	0	0	0	0	5	19
YGL022W_CDS	GENE_YGL022W_CDS	YGL022W_id001	protein_coding	0	2	0	40	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	2	29
YGL022W_CDS	GENE_YGL022W_CDS	YGL022W_id002	protein_coding	0	2	0	40	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	2	29
YGL023C_CDS	GENE_YGL023C_CDS	YGL023C_id001	protein_coding	0	10	2	38	0	0	0	0	27	0	0	0	2	0	0	0	0	0	0	0	0	10	11
YGL023C_CDS	GENE_YGL023C_CDS	YGL023C_id002	protein_coding	0	10	2	38	0	0	0	0	27	0	0	0	2	0	0	0	0	0	0	0	0	10	11
YGL024W_CDS	GENE_YGL024W_CDS	YGL024W_mRNA	protein_coding	0	2	1	42	0	0	0	0	18	0	0	0	1	0	0	0	0	0	0	0	0	2	24
YGL025C_CDS	GENE_YGL025C_CDS	YGL025C_mRNA	protein_coding	0	6	6	42	0	0	0	0	26	0	0	0	6	0	0	0	0	0	0	0	0	6	16
YGL026C_CDS	GENE_YGL026C_CDS	YGL026C_id001	protein_coding	0	4	3	66	0	0	0	0	39	0	0	0	3	0	0	0	0	0	0	0	0	4	27
YGL026C_CDS	GENE_YGL026C_CDS	YGL026C_id003	protein_coding	0	4	3	66	0	0	0	0	39	0	0	0	3	0	0	0	0	0	0	0	0	4	27
YGL027C_CDS	GENE_YGL027C_CDS	YGL027C_id001	protein_coding	0	8	6	76	0	0	0	0	48	0	0	0	6	0	0	0	0	0	0	0	0	8	28
YGL027C_CDS	GENE_YGL027C_CDS	YGL027C_id002	protein_coding	0	8	6	76	0	0	0	0	48	0	0	0	6	0	0	0	0	0	0	0	0	8	28
YGL028C_CDS	GENE_YGL028C_CDS	YGL028C_id001	protein_coding	0	8	3	81	0	0	0	0	46	0	0	0	3	0	0	0	0	0	0	0	0	8	35
YGL028C_CDS	GENE_YGL028C_CDS	YGL028C_id003	protein_coding	0	8	3	81	0	0	0	0	46	0	0	0	3	0	0	0	0	0	0	0	0	8	35
YGL029W_CDS	GENE_YGL029W_CDS	YGL029W_id001	protein_coding	0	0	0	94	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	43
YGL029W_CDS	GENE_YGL029W_CDS	YGL029W_id002	protein_coding	0	0	0	94	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	43
YGL030W_CDS	GENE_YGL030W_CDS	YGL030W_id001	protein_coding	0	0	0	120	0	0	0	0	53	0	0	2	0	0	0	0	0	0	0	0	0	0	65
YGL030W_CDS	GENE_YGL030W_CDS	YGL030W_id002	protein_coding	0	0	0	120	0	0	0	0	53	0	0	2	0	0	0	0	0	0	0	0	0	0	65
YGL031C_CDS	GENE_YGL031C_CDS	YGL031C_id001	protein_coding	0	0	0	109	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	45
YGL031C_CDS	GENE_YGL031C_CDS	YGL031C_id005	protein_coding	0	0	0	109	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	45
YGL032C_CDS	GENE_YGL032C_CDS	YGL032C_id001	protein_coding	0	1	2	97	0	0	0	0	56	0	0	0	2	0	0	0	0	0	0	0	0	1	41
YGL032C_CDS	GENE_YGL032C_CDS	YGL032C_id002	protein_coding	0	1	2	97	0	0	0	0	56	0	0	0	2	0	0	0	0	0	0	0	0	1	41
YGL033W_CDS	GENE_YGL033W_CDS	YGL033W_mRNA	protein_coding	0	1	1	103	0	0	0	0	46	0	0	3	1	0	0	0	0	0	0	0	0	1	54
YGL034C_CDS	GENE_YGL034C_CDS	YGL034C_id001	protein_coding	0	0	3	92	0	0	0	0	28	0	0	0	3	0	0	0	0	0	0	0	0	0	64
YGL035C_CDS	GENE_YGL035C_CDS	YGL035C_mRNA	protein_coding	0	1	1	99	0	0	0	0	33	0	0	0	1	0	0	0	0	0	0	0	0	1	66
YGL036W_CDS	GENE_YGL036W_CDS	YGL036W_mRNA	protein_coding	0	6	13	87	0	0	0	1	53	0	0	0	12	0	0	0	0	0	0	0	0	6	34
YGL037C_CDS	GENE_YGL037C_CDS	YGL037C_id001	protein_coding	0	2	0	72	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	2	29
YGL037C_CDS	GENE_YGL037C_CDS	YGL037C_id002	protein_coding	0	2	0	72	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	2	29
YGL038C_CDS	GENE_YGL038C_CDS	YGL038C_id001	protein_coding	0	6	1	81	0	0	0	0	49	0	0	0	1	0	0	0	0	0	0	0	0	6	32
YGL038C_CDS	GENE_YGL038C_CDS	YGL038C_id007	protein_coding	0	6	1	81	0	0	0	0	49	0	0	0	1	0	0	0	0	0	0	0	0	6	32
YGL039W_CDS	GENE_YGL039W_CDS	YGL039W_id001	protein_coding	0	3	3	76	0	0	0	0	34	0	0	0	3	0	0	0	0	0	0	0	0	3	42
YGL039W_CDS	GENE_YGL039W_CDS	YGL039W_id006	protein_coding	0	3	3	76	0	0	0	0	34	0	0	0	3	0	0	0	0	0	0	0	0	3	42
YGL040C_CDS	GENE_YGL040C_CDS	YGL040C_id001	protein_coding	0	1	0	65	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	1	51
YGL040C_CDS	GENE_YGL040C_CDS	YGL040C_id006	protein_coding	0	1	0	65	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	1	51
YGL041C-B_CDS	GENE_YGL041C-B_CDS	YGL041C-B_id001	protein_coding	0	0	0	56	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	40
YGL041C-B_CDS	GENE_YGL041C-B_CDS	YGL041C-B_id002	protein_coding	0	0	0	56	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	40
YGL041C_CDS	GENE_YGL041C_CDS	YGL041C_mRNA	protein_coding	0	0	0	58	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	44
YGL041W-A_CDS	GENE_YGL041W-A_CDS	YGL041W-A_id001	protein_coding	0	0	1	57	0	0	0	0	43	0	0	0	1	0	0	0	0	0	0	0	0	0	14
YGL041W-A_CDS	GENE_YGL041W-A_CDS	YGL041W-A_id004	protein_coding	0	0	1	57	0	0	0	0	43	0	0	0	1	0	0	0	0	0	0	0	0	0	14
YGL042C_CDS	GENE_YGL042C_CDS	YGL042C_id001	protein_coding	0	0	0	54	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	36
YGL043W_CDS	GENE_YGL043W_CDS	YGL043W_id001	protein_coding	0	1	0	54	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	1	18
YGL043W_CDS	GENE_YGL043W_CDS	YGL043W_id002	protein_coding	0	1	0	54	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	1	18
